Humedal,Comuna,Cuenca,Percentil_empirico,Acumulado_corregido_mm,Anomalia_pct,Susceptibilidad_inundacion,Amenaza_inundacion,Clase_amenaza,Retencion_suelo,Fuente_suelo
Estero del Rosario de Cordova,El Quisco,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.515,0.322,Moderada,0.9,CIREN
Estero del Rosario de Cordova,El Quisco,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.746,0.465,Muy Alta,0.9,CIREN
Estero del Rosario de Cordova,El Quisco,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.809,0.505,Muy Alta,0.9,CIREN
Estero del Rosario de Cordova,El Quisco,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.725,0.452,Muy Alta,0.9,CIREN
Estero del Rosario de Cordova,El Quisco,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.838,0.523,Muy Alta,0.9,CIREN
Estero del Rosario de Cordova,El Quisco,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.5,0.312,Moderada,0.717,FAO
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.642,0.401,Muy Alta,0.379,CIREN
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.676,0.422,Muy Alta,0.379,CIREN
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.412,0.257,Baja,0.379,CIREN
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.606,0.378,Alta,0.379,CIREN
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.679,0.424,Muy Alta,0.717,FAO
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.725,0.452,Muy Alta,0.9,CIREN
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.839,0.523,Muy Alta,0.9,CIREN
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.836,0.521,Muy Alta,0.9,CIREN
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.883,0.551,Muy Alta,0.9,CIREN
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.832,0.519,Muy Alta,0.9,CIREN
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.478,0.298,Moderada,0.717,FAO
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,81.2,59.5,46.0,0.628,0.392,Alta,0.717,FAO
