nom_humed,comuna,serie_suelo,textura,permeabilidad,drenaje,cap_campo_pct,arcilla_pct,inundacion,expo_suelo,fuente_suelo
Sin información,Casablanca,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,IMPERFECTO,13.0,8.8,NO EXISTE,0.329,CIREN
Sin información,Casablanca,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,IMPERFECTO,13.0,8.8,NO EXISTE,0.329,CIREN
Sin información,Casablanca,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,BUENO,13.0,8.8,NO EXISTE,0.229,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sin información,Casablanca,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
No identificado,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,IMPERFECTO,13.0,8.8,NO EXISTE,0.329,CIREN
Sin información,Casablanca,TAPIHUE,MODERADAMENTE GRUESA,MODERADAMENTE RAPIDA,BUENO,22.0,13.9,NO EXISTE,0.268,CIREN
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sector Agrosuper,Casablanca,TAPIHUE,MODERADAMENTE GRUESA,MODERADAMENTE RAPIDA,BUENO,22.0,13.9,NO EXISTE,0.268,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,IMPERFECTO,13.0,8.8,NO EXISTE,0.329,CIREN
Sin información,Algarrobo,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,IMPERFECTO,13.0,8.8,NO EXISTE,0.329,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sin información,Algarrobo,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,IMPERFECTO,13.0,8.8,NO EXISTE,0.329,CIREN
Sin información,Casablanca,TAPIHUE,MODERADAMENTE GRUESA,MODERADAMENTE RAPIDA,MODERADO,22.0,13.9,NO EXISTE,0.318,CIREN
Sin información,Casablanca,CASABLANCA,MEDIA,MODERADAMENTE LENTA,MODERADO,27.0,32.0,NO EXISTE,0.568,CIREN
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sin información,Casablanca,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,IMPERFECTO,13.0,8.8,NO EXISTE,0.329,CIREN
Sin información,Casablanca,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,IMPERFECTO,13.0,8.8,NO EXISTE,0.329,CIREN
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Casablanca,TAPIHUE,MODERADAMENTE GRUESA,MODERADAMENTE RAPIDA,BUENO,22.0,13.9,NO EXISTE,0.268,CIREN
Sin información,Casablanca,CASABLANCA,MEDIA,MODERADAMENTE LENTA,MODERADO,27.0,32.0,NO EXISTE,0.568,CIREN
Sin información,Casablanca,CASABLANCA,MODERADAMENTE FINA,MODERADAMENTE LENTA,IMPERFECTO,27.0,32.0,NO EXISTE,0.668,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,CASABLANCA,MODERADAMENTE FINA,MODERADAMENTE LENTA,MODERADO,27.0,32.0,NO EXISTE,0.618,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,SANTA AMALIA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,MODERADO,12.0,15.1,NO EXISTE,0.307,CIREN
Sin información,Casablanca,CASABLANCA,MODERADAMENTE FINA,MODERADAMENTE LENTA,IMPERFECTO,27.0,32.0,NO EXISTE,0.668,CIREN
Sin información,Casablanca,TAPIHUE,MODERADAMENTE GRUESA,MODERADAMENTE RAPIDA,EXCESIVO,22.0,13.9,NO EXISTE,0.228,CIREN
Sin información,Casablanca,TAPIHUE,MODERADAMENTE GRUESA,MODERADAMENTE RAPIDA,BUENO,22.0,13.9,NO EXISTE,0.268,CIREN
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Casablanca,AGUA DEL GATO,MODERADAMENTE FINA,LENTA,IMPERFECTO,35.0,30.5,NO EXISTE,0.756,CIREN
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Casablanca,SANTA AMALIA DE CASABLANCA,MEDIA,MODERADA,MODERADO,12.0,15.1,NO EXISTE,0.357,CIREN
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sin información,Algarrobo,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,SANTA ROSA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADAMENTE LENTA,IMPERFECTO,9.0,7.5,NO EXISTE,0.363,CIREN
Sin información,Casablanca,TAPIHUE,MODERADAMENTE GRUESA,MODERADAMENTE RAPIDA,BUENO,22.0,13.9,NO EXISTE,0.268,CIREN
Sin información,Casablanca,CASABLANCA,MEDIA,MODERADAMENTE LENTA,MODERADO,27.0,32.0,NO EXISTE,0.568,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,SANTA ROSA DE CASABLANCA,MEDIA,MODERADAMENTE LENTA,MODERADO,9.0,7.5,NO EXISTE,0.363,CIREN
Humedal Sector Tunquen 1,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Humedal Sector Tunquen 2,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sin información,Casablanca,TAPIHUE,MODERADAMENTE GRUESA,MODERADAMENTE RAPIDA,BUENO,22.0,13.9,NO EXISTE,0.268,CIREN
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,SANTA ROSA DE CASABLANCA,MEDIA,MODERADAMENTE LENTA,MODERADO,9.0,7.5,NO EXISTE,0.363,CIREN
Sin información,Casablanca,CASABLANCA,MODERADAMENTE FINA,MODERADAMENTE LENTA,IMPERFECTO,27.0,32.0,NO EXISTE,0.668,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Casablanca,TAPIHUE,MODERADAMENTE GRUESA,MODERADAMENTE RAPIDA,BUENO,22.0,13.9,NO EXISTE,0.268,CIREN
Sin información,Casablanca,TAPIHUE,MODERADAMENTE GRUESA,MODERADAMENTE RAPIDA,MODERADO,22.0,13.9,NO EXISTE,0.318,CIREN
Sin información,Casablanca,SANTA ROSA DE CASABLANCA,MEDIA,MODERADAMENTE LENTA,MODERADO,9.0,7.5,NO EXISTE,0.363,CIREN
Sin información,Casablanca,MISCELANEOS,,,EXCESIVO,,,,0.0,CIREN
Sin información,Casablanca,TAPIHUE,MODERADAMENTE GRUESA,MODERADAMENTE RAPIDA,BUENO,22.0,13.9,NO EXISTE,0.268,CIREN
Sin información,Casablanca,TAPIHUE,MODERADAMENTE GRUESA,MODERADAMENTE RAPIDA,BUENO,22.0,13.9,NO EXISTE,0.268,CIREN
Sin información,Algarrobo,BOCHINCHE,MODERADAMENTE GRUESA,LENTA,BUENO,,9.8,NO EXISTE,0.379,CIREN
Sin información,Algarrobo,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Casablanca,TAPIHUE,MODERADAMENTE GRUESA,MODERADAMENTE RAPIDA,BUENO,22.0,13.9,NO EXISTE,0.268,CIREN
Humedal Sector Tunquen 3,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Humedal Sector Tunquen 4,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Humedal Sector Tunquen 5,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Casablanca,CASABLANCA,MODERADAMENTE FINA,MODERADAMENTE LENTA,MODERADO,27.0,32.0,NO EXISTE,0.618,CIREN
Sin información,Casablanca,SANTA RITA DE CASABLANCA,MODERADAMENTE GRUESA,MODERADA,BUENO,13.0,8.8,NO EXISTE,0.229,CIREN
Sin información,Casablanca,SANTA ROSA DE CASABLANCA,MEDIA,MODERADAMENTE LENTA,BUENO,9.0,7.5,NO EXISTE,0.313,CIREN
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sin información,Casablanca,LO VASQUEZ,MEDIA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.467,CIREN
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Casablanca,SANTA ROSA DE CASABLANCA,MEDIA,MODERADAMENTE LENTA,BUENO,9.0,7.5,NO EXISTE,0.313,CIREN
Sin información,Casablanca,SANTA ROSA DE CASABLANCA,MEDIA,MODERADAMENTE LENTA,MODERADO,9.0,7.5,NO EXISTE,0.363,CIREN
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sin información,Casablanca,SANTA ROSA DE CASABLANCA,MEDIA,MODERADAMENTE LENTA,BUENO,9.0,7.5,NO EXISTE,0.313,CIREN
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Casablanca,CASABLANCA,MODERADAMENTE FINA,MODERADAMENTE LENTA,IMPERFECTO,27.0,32.0,NO EXISTE,0.668,CIREN
Sin información,Casablanca,LO VASQUEZ,MEDIA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.467,CIREN
Sin información,Casablanca,LO VASQUEZ,MEDIA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.467,CIREN
Sin información,Casablanca,SANTA ROSA DE CASABLANCA,MEDIA,MODERADAMENTE LENTA,BUENO,9.0,7.5,NO EXISTE,0.313,CIREN
Sin información,Casablanca,CASABLANCA,MODERADAMENTE FINA,MODERADAMENTE LENTA,IMPERFECTO,27.0,32.0,NO EXISTE,0.668,CIREN
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sector Quintay N°4,Casablanca,LONCURA,GRUESA,RAPIDA,EXCESIVO,9.0,9.2,NO EXISTE,0.071,CIREN
Sin información,Casablanca,NO SUELOS,,,,,,,,none
Sin información,Casablanca,SANTA ROSA DE CASABLANCA,MEDIA,MODERADAMENTE LENTA,MODERADO,9.0,7.5,NO EXISTE,0.363,CIREN
Sin información,Casablanca,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Valparaíso,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
Sin información,Valparaíso,LO VASQUEZ,MODERADAMENTE FINA,MODERADAMENTE LENTA,BUENO,,,NO EXISTE,0.55,CIREN
