nom_humed,comuna,dist_rio_m,dist_rio_mayor_m,prox_rio,prox_rio_mayor
Rio Petorca- Rio La Ligua,La Ligua,25.0,25.0,1.0,1.0
Rio Petorca- Rio La Ligua,Papudo,24.0,24.0,1.0,1.0
Rio Petorca- Rio La Ligua,Papudo,73.0,73.0,0.991,0.996
Rio Petorca- Rio La Ligua,Papudo,13.0,13.0,1.0,1.0
Humedal Pichicuy,La Ligua,103.0,103.0,0.97,0.985
Sist. Rio Maipo y Estero El Sauce,San Antonio,64.0,64.0,0.997,0.999
Sist. Rio Maipo y Estero El Sauce,San Antonio,11.0,11.0,1.0,1.0
Sist. Rio Maipo y Estero El Sauce,Santo Domingo,45.0,45.0,1.0,1.0
Sist. Rio Maipo y Estero El Sauce,Santo Domingo,57.0,57.0,1.0,1.0
Des. Rio Maipo,Santo Domingo,412.0,412.0,0.756,0.88
Quebrada Cruz de Piedra,Papudo,5.0,5.0,1.0,1.0
Des.Estero Mantagua,Quintero,278.0,278.0,0.849,0.926
Laguna de Llolleo,San Antonio,657.0,657.0,0.585,0.797
Laguna de Llolleo,San Antonio,505.0,505.0,0.691,0.849
Des.Estero Mantagua,Quintero,309.0,576.0,0.827,0.825
Playa El Abanico,Puchuncaví,773.0,1050.0,0.505,0.663
Quebrada Las Petras,Algarrobo,158.0,1986.0,0.932,0.345
El Canelillo,Algarrobo,601.0,2464.0,0.624,0.182
Playa Sector nautico,Algarrobo,454.0,1491.0,0.726,0.513
Estero San Juan,San Antonio,17.0,17.0,1.0,1.0
H. Estuario Los Molles,La Ligua,204.0,204.0,0.9,0.951
H. Estuario Los Molles,La Ligua,6.0,6.0,1.0,1.0
Sector Quintay N°1,Casablanca,612.0,612.0,0.617,0.812
Estero El Membrillo,Algarrobo,202.0,202.0,0.901,0.952
Sector Playa Cachagua,Zapallar,21.0,21.0,1.0,1.0
Humedal Sector Las Gaviotas,Quintero,200.0,200.0,0.903,0.952
Humedal Sector Las Gaviotas,Quintero,337.0,337.0,0.808,0.906
Sin información,Casablanca,89.0,89.0,0.98,0.99
Sin información,Casablanca,254.0,254.0,0.865,0.934
Sin información,Casablanca,259.0,259.0,0.862,0.932
Sin información,Casablanca,63.0,63.0,0.998,0.999
Sin información,Quilpué,7.0,7.0,1.0,1.0
Sin información,Quilpué,366.0,986.0,0.787,0.685
Sin información,Valparaíso,55.0,880.0,1.0,0.721
Sin información,Quilpué,467.0,467.0,0.717,0.861
Sin información,Quilpué,98.0,1403.0,0.973,0.543
Sin información,Quilpué,482.0,767.0,0.707,0.759
Sin información,Villa Alemana,123.0,237.0,0.956,0.94
Sin información,Villa Alemana,96.0,342.0,0.975,0.904
Sin información,Villa Alemana,195.0,195.0,0.906,0.954
Embalse Poza Azul,Quilpué,94.0,94.0,0.977,0.989
Sin información,Quilpué,10.0,10.0,1.0,1.0
Sin información,Villa Alemana,95.0,1148.0,0.976,0.63
Sin información,Limache,1739.0,2154.0,0.0,0.288
Sin información,Limache,930.0,1622.0,0.396,0.469
Sin información,Limache,30.0,30.0,1.0,1.0
Sin información,Concón,730.0,730.0,0.535,0.772
Sin información,Concón,794.0,794.0,0.491,0.751
Sin información,Concón,927.0,927.0,0.398,0.705
Sin información,Nogales,2085.0,2085.0,0.0,0.311
Sin información,Nogales,222.0,222.0,0.888,0.945
Sin información,Zapallar,52.0,52.0,1.0,1.0
Sin información,Santo Domingo,5.0,5.0,1.0,1.0
Sin información,Santo Domingo,183.0,2049.0,0.915,0.323
Sin información,Santo Domingo,561.0,1796.0,0.652,0.409
Sin información,Santo Domingo,160.0,312.0,0.931,0.914
Sin información,Santo Domingo,6.0,2842.0,1.0,0.054
Sin información,Santo Domingo,10.0,10.0,1.0,1.0
Sin información,Santo Domingo,825.0,972.0,0.469,0.69
Sin información,Santo Domingo,1056.0,2186.0,0.308,0.277
Sin información,Santo Domingo,1080.0,2137.0,0.292,0.293
Sin información,Santo Domingo,616.0,1342.0,0.614,0.564
Sin información,Santo Domingo,485.0,2382.0,0.705,0.21
Sin información,Santo Domingo,1107.0,2326.0,0.273,0.229
Sin información,Santo Domingo,19.0,252.0,1.0,0.935
Sin información,Santo Domingo,217.0,217.0,0.891,0.947
Sin información,Santo Domingo,71.0,1838.0,0.992,0.395
Sin información,Santo Domingo,17.0,1770.0,1.0,0.418
Sin información,Santo Domingo,360.0,894.0,0.792,0.716
