nom_humed,comuna,tipo,z_score,anomaly_pct,elev_m,slope_deg,flow_acc,twi,twi_norm,expo_met,expo_topo,expo_comp
Sector Estero Mala Cara 1,Quintero,Humedal asociado a límite urbano,4.28,319.4,13.2,0.29,6,12.75,0.672,0.713,0.672,0.693
Sector Estero Mala Cara 7,Quintero,Humedal asociado a límite urbano,4.28,319.4,114.3,1.27,1,10.02,0.367,0.713,0.367,0.54
Estero Mala Cara,Puchuncaví,Humedal asociado a límite urbano,5.33,412.1,92.6,1.28,1,10.02,0.367,0.888,0.367,0.628
Sin información,Puchuncaví,Humedal no asociado a límite urbano,5.19,415.5,64.7,2.66,21,11.68,0.553,0.865,0.553,0.709
Sector Rungue,Puchuncaví,Humedal asociado a límite urbano,5.19,415.5,37.2,2.21,171,13.93,0.803,0.865,0.803,0.834
Estero Quirilluca,Puchuncaví,Humedal asociado a límite urbano,5.19,415.5,19.8,6.44,48,11.59,0.543,0.865,0.543,0.704
Sin información,Zapallar,Humedal no asociado a límite urbano,5.71,473.7,66.2,3.86,16,11.05,0.482,0.952,0.482,0.717
Sin información,Santa María,Humedal no asociado a límite urbano,3.03,291.2,2180.0,5.7,48,11.72,0.557,0.505,0.557,0.531
Sin información,Zapallar,Humedal no asociado a límite urbano,5.71,473.7,131.4,7.36,25,10.83,0.457,0.952,0.457,0.704
Sin información,Cabildo,Humedal no asociado a límite urbano,4.12,379.8,701.1,3.38,8,10.55,0.426,0.687,0.426,0.556
Sin información,Petorca,Humedal no asociado a límite urbano,3.82,350.3,501.2,7.54,15,10.32,0.4,0.637,0.4,0.518
Sin información,Petorca,Humedal no asociado a límite urbano,3.84,363.9,659.1,4.95,24,11.19,0.498,0.64,0.498,0.569
Sin información,Petorca,Humedal no asociado a límite urbano,3.84,363.9,701.5,10.57,2,8.3,0.175,0.64,0.175,0.408
Sin información,Petorca,Humedal no asociado a límite urbano,3.84,363.9,676.7,4.73,8,10.21,0.388,0.64,0.388,0.514
Sin información,Petorca,Humedal no asociado a límite urbano,4.09,387.7,897.5,6.54,3,9.07,0.262,0.682,0.262,0.472
Sin información,Petorca,Humedal no asociado a límite urbano,5.36,528.7,797.1,4.07,3259,16.25,1.0,0.893,1.0,0.947
Sin información,Petorca,Humedal no asociado a límite urbano,5.36,528.7,817.3,4.26,30,11.55,0.538,0.893,0.538,0.716
Sist. Rio Aconcagua y trib,Concón,Humedal asociado a límite urbano,5.59,411.6,11.2,2.17,1,9.49,0.308,0.932,0.308,0.62
