nom_humed,comuna,tipo,z_score,anomaly_pct,elev_m,slope_deg,flow_acc,twi,twi_norm,expo_met,expo_topo,expo_comp
Sin información,Quintero,Humedal no asociado a límite urbano,5.33,412.1,98.6,2.64,38,12.26,0.617,0.888,0.617,0.753
Sin información,Hijuelas,Humedal no asociado a límite urbano,3.79,308.7,340.1,7.56,3,8.93,0.245,0.632,0.245,0.438
Sector Estero Mala Cara 2,Quintero,Humedal asociado a límite urbano,4.28,319.4,15.9,2.09,4,10.44,0.414,0.713,0.414,0.564
Sin información,Llaillay,Humedal no asociado a límite urbano,3.59,294.7,404.2,4.36,13,10.73,0.447,0.598,0.447,0.523
Sector Estero Mala Cara 4,Quintero,Humedal asociado a límite urbano,4.28,319.4,21.7,1.93,25,12.17,0.607,0.713,0.607,0.66
Sin información,La Cruz,Humedal no asociado a límite urbano,3.9,313.4,166.3,4.73,2,9.11,0.266,0.65,0.266,0.458
Sin información,La Cruz,Humedal no asociado a límite urbano,3.9,313.4,175.0,6.83,2,8.74,0.225,0.65,0.225,0.438
Sin información,Quintero,Humedal no asociado a límite urbano,5.33,412.1,64.9,1.75,57,13.07,0.708,0.888,0.708,0.798
Sector Estero Mala Cara 5,Quintero,Humedal asociado a límite urbano,5.33,412.1,23.3,1.66,15,11.83,0.57,0.888,0.57,0.729
Estero Mala Cara,Puchuncaví,Humedal asociado a límite urbano,5.33,412.1,180.0,3.14,153,13.46,0.752,0.888,0.752,0.82
Sin información,La Cruz,Humedal no asociado a límite urbano,3.9,313.4,170.7,1.29,2,10.41,0.411,0.65,0.411,0.53
Sin información,Hijuelas,Humedal no asociado a límite urbano,3.79,308.7,367.7,4.89,69,12.23,0.614,0.632,0.614,0.623
Sin información,Panquehue,Humedal no asociado a límite urbano,3.19,262.3,548.5,11.37,10,9.52,0.312,0.532,0.312,0.422
Sin información,Puchuncaví,Humedal no asociado a límite urbano,5.33,412.1,117.3,2.76,201,13.86,0.796,0.888,0.796,0.842
Sin información,Hijuelas,Humedal asociado a límite urbano,3.9,313.4,251.0,4.52,4,9.67,0.328,0.65,0.328,0.489
Sin información,Nogales,Humedal no asociado a límite urbano,4.38,362.9,199.1,2.95,43,12.27,0.619,0.73,0.619,0.674
Sin información,Puchuncaví,Humedal no asociado a límite urbano,5.19,415.5,13.4,1.26,4,10.95,0.471,0.865,0.471,0.668
Sin información,Puchuncaví,Humedal no asociado a límite urbano,5.19,415.5,15.0,0.6,1,10.77,0.451,0.865,0.451,0.658
Sin información,Catemu,Humedal no asociado a límite urbano,4.27,361.0,434.6,4.4,2,9.19,0.274,0.712,0.274,0.493
Sin información,Puchuncaví,Humedal no asociado a límite urbano,5.19,415.5,15.6,0.54,1,10.87,0.462,0.865,0.462,0.664
Sin información,Nogales,Humedal no asociado a límite urbano,5.19,425.6,236.8,2.0,3,10.26,0.394,0.865,0.394,0.63
Sin información,Puchuncaví,Humedal no asociado a límite urbano,5.19,415.5,14.5,0.66,1079,16.96,1.0,0.865,1.0,0.933
Sin información,Nogales,Humedal no asociado a límite urbano,5.19,425.6,238.8,1.96,2,9.99,0.364,0.865,0.364,0.614
Sin información,San Felipe,Humedal no asociado a límite urbano,3.35,278.2,549.8,0.24,102,15.65,0.996,0.558,0.996,0.777
Sin información,Nogales,Humedal no asociado a límite urbano,4.38,362.9,228.2,5.42,2,8.98,0.251,0.73,0.251,0.49
Sin información,San Felipe,Humedal no asociado a límite urbano,3.35,278.2,643.8,2.08,5,10.63,0.435,0.558,0.435,0.497
Sin información,Nogales,Humedal no asociado a límite urbano,4.38,362.9,221.6,0.38,1,11.24,0.503,0.73,0.503,0.616
Sin información,Nogales,Humedal no asociado a límite urbano,4.38,362.9,223.2,2.42,9,10.99,0.475,0.73,0.475,0.602
Sin información,Nogales,Humedal no asociado a límite urbano,4.38,362.9,233.5,0.99,1,10.28,0.396,0.73,0.396,0.563
Sin información,Nogales,Humedal no asociado a límite urbano,4.38,362.9,250.6,1.92,2,10.02,0.367,0.73,0.367,0.548
Sin información,San Felipe,Humedal no asociado a límite urbano,3.2,273.0,636.0,0.96,1,10.31,0.399,0.533,0.399,0.466
Sin información,Nogales,Humedal no asociado a límite urbano,4.64,384.3,274.2,1.48,7,11.26,0.505,0.773,0.505,0.639
Sin información,Catemu,Humedal no asociado a límite urbano,3.48,294.2,477.6,1.81,59,13.07,0.708,0.58,0.708,0.644
Sin información,Catemu,Humedal no asociado a límite urbano,3.48,294.2,487.0,4.91,3,9.36,0.294,0.58,0.294,0.437
Sin información,Zapallar,Humedal no asociado a límite urbano,5.71,473.7,54.4,3.25,1,9.08,0.262,0.952,0.262,0.607
Sin información,Zapallar,Humedal no asociado a límite urbano,5.71,473.7,54.2,6.19,2,8.84,0.236,0.952,0.236,0.594
Sin información,Zapallar,Humedal no asociado a límite urbano,5.71,473.7,62.0,0.96,1,10.3,0.399,0.952,0.399,0.675
Sin información,Zapallar,Humedal no asociado a límite urbano,5.71,473.7,135.6,4.59,1,8.74,0.224,0.952,0.224,0.588
Esteros Catapilco - La Canela,Zapallar,Humedal asociado a límite urbano,5.79,480.1,156.8,2.01,17,11.76,0.562,0.965,0.562,0.764
Sin información,Zapallar,Humedal no asociado a límite urbano,5.79,480.1,115.1,1.28,2,10.42,0.412,0.965,0.412,0.688
Sin información,La Ligua,Humedal no asociado a límite urbano,6.21,524.3,59.2,2.17,73,13.1,0.711,1.0,0.711,0.855
Sin información,Papudo,Humedal no asociado a límite urbano,5.95,496.8,99.7,1.38,1,9.94,0.358,0.992,0.358,0.675
Sin información,Cabildo,Humedal no asociado a límite urbano,4.01,348.4,134.3,3.97,3,9.57,0.317,0.668,0.317,0.493
Sin información,Cabildo,Humedal no asociado a límite urbano,3.22,281.1,321.2,1.47,1,9.88,0.351,0.537,0.351,0.444
Sin información,Cabildo,Humedal no asociado a límite urbano,3.22,281.1,288.4,4.11,6,10.1,0.376,0.537,0.376,0.456
Sin información,Papudo,Humedal no asociado a límite urbano,5.95,496.8,10.8,1.32,8,11.49,0.531,0.992,0.531,0.761
Sin información,Cabildo,Humedal no asociado a límite urbano,3.22,281.1,305.5,1.18,5,11.2,0.499,0.537,0.499,0.518
Sin información,Cabildo,Humedal no asociado a límite urbano,3.22,281.1,230.6,1.11,1,10.16,0.383,0.537,0.383,0.46
Sin información,La Ligua,Humedal no asociado a límite urbano,6.49,567.4,111.7,6.03,77,12.13,0.602,1.0,0.602,0.801
Sin información,Cabildo,Humedal no asociado a límite urbano,3.88,346.2,189.5,5.83,2,8.9,0.242,0.647,0.242,0.444
Sin información,La Ligua,Humedal no asociado a límite urbano,6.49,567.4,13.5,1.71,1,9.73,0.335,1.0,0.335,0.668
Sin información,La Ligua,Humedal no asociado a límite urbano,6.49,567.4,94.1,1.7,1,9.73,0.335,1.0,0.335,0.668
Sin información,Petorca,Humedal no asociado a límite urbano,3.88,346.2,265.8,0.86,3,11.11,0.489,0.647,0.489,0.568
Sin información,La Ligua,Humedal no asociado a límite urbano,6.11,543.2,41.3,2.93,52,12.46,0.64,1.0,0.64,0.82
Sin información,La Ligua,Humedal no asociado a límite urbano,6.49,567.4,32.3,2.03,2,9.96,0.361,1.0,0.361,0.68
Sin información,Cabildo,Humedal no asociado a límite urbano,4.12,379.8,638.8,7.19,6046,16.3,1.0,0.687,1.0,0.843
Sin información,Cabildo,Humedal no asociado a límite urbano,4.12,379.8,716.3,8.41,5,9.23,0.278,0.687,0.278,0.482
Sin información,Cabildo,Humedal no asociado a límite urbano,4.12,379.8,633.0,2.93,15,11.27,0.506,0.687,0.506,0.596
Sin información,La Ligua,Humedal no asociado a límite urbano,4.09,372.8,117.6,4.12,2,9.25,0.281,0.682,0.281,0.481
Sin información,La Ligua,Humedal no asociado a límite urbano,4.86,442.4,107.7,3.76,132,13.13,0.715,0.81,0.715,0.762
Sin información,Petorca,Humedal no asociado a límite urbano,3.82,350.3,328.1,2.83,7,10.61,0.433,0.637,0.433,0.535
Sin información,Petorca,Humedal no asociado a límite urbano,3.82,350.3,305.4,0.49,22,13.41,0.746,0.637,0.746,0.691
Sin información,Petorca,Humedal no asociado a límite urbano,3.82,350.3,320.1,1.66,3,10.45,0.415,0.637,0.415,0.526
Sin información,La Ligua,Humedal no asociado a límite urbano,4.09,372.8,107.0,3.75,7,10.33,0.401,0.682,0.401,0.541
Sin información,Petorca,Humedal no asociado a límite urbano,3.82,350.3,334.3,3.53,2,9.4,0.298,0.637,0.298,0.467
Sin información,La Ligua,Humedal no asociado a límite urbano,4.86,442.4,128.1,2.76,2,9.65,0.326,0.81,0.326,0.568
Sin información,La Ligua,Humedal no asociado a límite urbano,4.86,442.4,147.1,0.98,1824,17.1,1.0,0.81,1.0,0.905
Sin información,La Ligua,Humedal no asociado a límite urbano,6.11,543.2,118.3,0.55,1029,17.11,1.0,1.0,1.0,1.0
Sin información,La Ligua,Humedal no asociado a límite urbano,4.86,442.4,171.7,1.5,1,9.86,0.349,0.81,0.349,0.58
Sin información,La Ligua,Humedal no asociado a límite urbano,4.09,372.8,177.7,4.52,3,9.45,0.303,0.682,0.303,0.492
Sin información,Petorca,Humedal no asociado a límite urbano,4.06,374.7,564.6,10.34,43,11.01,0.477,0.677,0.477,0.577
Sin información,Petorca,Humedal no asociado a límite urbano,3.84,363.9,546.7,8.91,13,10.01,0.367,0.64,0.367,0.504
Sin información,Petorca,Humedal no asociado a límite urbano,3.84,363.9,546.7,8.91,13,10.01,0.367,0.64,0.367,0.504
Sin información,Petorca,Humedal no asociado a límite urbano,4.09,387.7,876.0,6.2,8,9.94,0.358,0.682,0.358,0.52
Sin información,Petorca,Humedal no asociado a límite urbano,3.84,363.9,700.2,5.71,2,8.92,0.245,0.64,0.245,0.442
Sin información,Petorca,Humedal no asociado a límite urbano,3.84,363.9,680.2,3.0,5,10.26,0.394,0.64,0.394,0.517
Sin información,Petorca,Humedal no asociado a límite urbano,3.84,363.9,671.4,2.37,12,11.27,0.507,0.64,0.507,0.574
Sin información,Petorca,Humedal no asociado a límite urbano,3.84,363.9,685.9,1.35,18,12.22,0.613,0.64,0.613,0.626
Sin información,Petorca,Humedal no asociado a límite urbano,3.84,363.9,700.2,1.87,3,10.33,0.402,0.64,0.402,0.521
Sin información,Petorca,Humedal no asociado a límite urbano,3.84,363.9,642.5,1.23,5,11.16,0.494,0.64,0.494,0.567
Sin información,Petorca,Humedal no asociado a límite urbano,4.09,387.7,801.9,4.88,6,9.93,0.357,0.682,0.357,0.519
Sin información,Casablanca,Humedal no asociado a límite urbano,3.29,230.4,286.3,0.65,1,10.69,0.442,0.548,0.442,0.495
Sin información,Casablanca,Humedal no asociado a límite urbano,4.8,348.9,327.5,0.32,1,11.4,0.521,0.8,0.521,0.66
Sin información,Santa María,Humedal no asociado a límite urbano,3.03,291.2,2461.9,2.62,99,13.21,0.724,0.505,0.724,0.614
Sin información,Cabildo,Humedal no asociado a límite urbano,3.45,340.4,3038.0,1.13,102,14.09,0.821,0.575,0.821,0.698
Sin información,Santo Domingo,Humedal no asociado a límite urbano,3.51,230.7,157.8,2.91,48,12.39,0.632,0.585,0.632,0.608
Laguna Sector Industrial,Cartagena,Humedal asociado a límite urbano,3.8,266.8,187.4,0.64,22,13.14,0.716,0.633,0.716,0.675
Sin información,El Tabo,Humedal no asociado a límite urbano,3.8,266.8,110.8,3.8,1,8.93,0.245,0.633,0.245,0.439
Sin información,Casablanca,Humedal no asociado a límite urbano,5.2,364.0,226.3,1.87,7,11.02,0.479,0.867,0.479,0.673
Sin información,Casablanca,Humedal asociado a límite urbano,3.9,272.2,246.6,2.66,451,14.71,0.89,0.65,0.89,0.77
Sin información,Casablanca,Humedal no asociado a límite urbano,5.2,364.0,345.5,5.24,1,8.6,0.209,0.867,0.209,0.538
Sin información,Casablanca,Humedal no asociado a límite urbano,6.28,430.2,257.2,1.35,2,10.37,0.406,1.0,0.406,0.703
Sin información,Quilpué,Humedal no asociado a límite urbano,5.07,360.9,331.5,2.78,57,12.61,0.656,0.845,0.656,0.75
Sin información,Valparaíso,Humedal no asociado a límite urbano,6.43,446.0,377.9,2.66,46,12.44,0.638,1.0,0.638,0.819
Sin información,Quilpué,Humedal no asociado a límite urbano,5.07,360.9,268.3,5.57,2,8.95,0.247,0.845,0.247,0.546
Sin información,Quilpué,Humedal no asociado a límite urbano,5.07,360.9,233.7,2.56,92,13.16,0.718,0.845,0.718,0.782
Sin información,Quilpué,Humedal no asociado a límite urbano,5.07,360.9,217.6,3.34,2,9.46,0.305,0.845,0.305,0.575
Sin información,Limache,Humedal no asociado a límite urbano,3.9,290.4,178.8,3.49,2,9.42,0.3,0.65,0.3,0.475
Sin información,Limache,Humedal no asociado a límite urbano,4.11,307.2,138.5,0.83,12,12.32,0.625,0.685,0.625,0.655
Sin información,Limache,Humedal no asociado a límite urbano,4.11,307.2,131.7,1.4,1,9.93,0.357,0.685,0.357,0.521
Sin información,Olmué,Humedal no asociado a límite urbano,3.37,259.6,212.2,10.96,4,8.77,0.228,0.562,0.228,0.395
Sin información,Olmué,Humedal no asociado a límite urbano,4.11,307.2,165.7,1.7,7,11.12,0.49,0.685,0.49,0.588
Sin información,Limache,Humedal no asociado a límite urbano,4.11,307.2,116.2,0.68,1,10.65,0.437,0.685,0.437,0.561
Sin información,Limache,Humedal no asociado a límite urbano,4.96,359.8,75.6,1.64,14,11.78,0.564,0.827,0.564,0.695
Sin información,Limache,Humedal no asociado a límite urbano,4.96,359.8,68.3,1.18,17,12.3,0.621,0.827,0.621,0.724
Sin información,Quintero,Humedal asociado a límite urbano,5.59,411.6,126.2,2.07,2,9.94,0.358,0.932,0.358,0.645
Sin información,Quintero,Humedal asociado a límite urbano,5.59,411.6,125.3,2.37,1,9.4,0.298,0.932,0.298,0.615
Sin información,Quillota,Humedal no asociado a límite urbano,5.15,389.3,78.8,1.54,32,12.64,0.659,0.858,0.659,0.759
Sin información,Quillota,Humedal no asociado a límite urbano,5.15,389.3,121.3,4.22,20,11.17,0.496,0.858,0.496,0.677
Estero Puchuncavi - Campiche,Puchuncaví,Humedal asociado a límite urbano,5.19,415.5,12.9,1.09,8,11.68,0.553,0.865,0.553,0.709
Estero Puchuncavi - Campiche,Quintero,Humedal asociado a límite urbano,4.28,319.4,12.9,1.66,6,11.01,0.477,0.713,0.477,0.595
Sin información,Nogales,Humedal no asociado a límite urbano,4.38,362.9,209.5,0.66,3,11.38,0.519,0.73,0.519,0.624
Sin información,San Felipe,Humedal no asociado a límite urbano,3.35,278.2,614.2,1.13,458,15.58,0.988,0.558,0.988,0.773
Sin información,San Felipe,Humedal no asociado a límite urbano,3.2,273.0,633.8,0.81,70,14.04,0.817,0.533,0.817,0.675
Sin información,San Felipe,Humedal no asociado a límite urbano,3.2,273.0,656.6,0.89,3,11.07,0.485,0.533,0.485,0.509
Sin información,San Felipe,Humedal no asociado a límite urbano,3.2,273.0,656.0,0.99,1,10.27,0.395,0.533,0.395,0.464
Sin información,Nogales,Humedal no asociado a límite urbano,4.64,384.3,267.5,4.08,1,8.85,0.237,0.773,0.237,0.505
Sin información,Zapallar,Humedal no asociado a límite urbano,5.45,446.6,158.4,5.04,10,10.35,0.404,0.908,0.404,0.656
Sin información,Zapallar,Humedal no asociado a límite urbano,5.45,446.6,181.3,2.68,31,12.05,0.594,0.908,0.594,0.751
Sin información,Zapallar,Humedal no asociado a límite urbano,5.45,446.6,167.9,3.33,4,9.98,0.362,0.908,0.362,0.635
Sin información,Zapallar,Humedal no asociado a límite urbano,5.45,446.6,178.4,4.18,44,11.94,0.582,0.908,0.582,0.745
Sin información,Zapallar,Humedal no asociado a límite urbano,5.71,473.7,79.7,2.71,8,10.77,0.451,0.952,0.451,0.701
Sin información,Zapallar,Humedal no asociado a límite urbano,5.71,473.7,66.8,4.3,84,12.55,0.65,0.952,0.65,0.801
Sin información,Zapallar,Humedal no asociado a límite urbano,5.79,480.1,91.2,1.11,18,12.41,0.634,0.965,0.634,0.8
Sin información,San Esteban,Humedal no asociado a límite urbano,3.21,319.0,3414.5,18.63,9,8.91,0.243,0.535,0.243,0.389
Sin información,San Esteban,Humedal no asociado a límite urbano,3.21,319.0,3470.6,13.28,8,9.16,0.271,0.535,0.271,0.403
Sin información,San Esteban,Humedal no asociado a límite urbano,3.21,319.0,3414.5,18.63,9,8.91,0.243,0.535,0.243,0.389
Sin información,San Esteban,Humedal no asociado a límite urbano,3.47,348.3,3588.5,9.77,18,10.23,0.39,0.578,0.39,0.484
Sin información,Zapallar,Humedal no asociado a límite urbano,5.79,480.1,79.1,0.9,12,12.24,0.615,0.965,0.615,0.79
Sin información,Zapallar,Humedal no asociado a límite urbano,5.79,480.1,68.4,0.15,11,13.94,0.804,0.965,0.804,0.885
Sin información,Cabildo,Humedal no asociado a límite urbano,4.01,348.4,158.1,1.02,23850,19.63,1.0,0.668,1.0,0.834
Sin información,Putaendo,Humedal no asociado a límite urbano,3.43,350.6,3459.9,10.76,1,7.88,0.128,0.572,0.128,0.35
Sin información,Putaendo,Humedal no asociado a límite urbano,3.43,350.6,3638.8,6.64,4,9.28,0.285,0.572,0.285,0.428
Sin información,Putaendo,Humedal no asociado a límite urbano,3.43,350.6,3536.6,13.24,2,8.07,0.149,0.572,0.149,0.36
Sin información,Petorca,Humedal no asociado a límite urbano,3.82,350.3,334.3,3.53,2,9.4,0.298,0.637,0.298,0.467
Sin información,La Ligua,Humedal no asociado a límite urbano,4.86,442.4,148.8,2.77,1,9.24,0.281,0.81,0.281,0.546
Sin información,Petorca,Humedal no asociado a límite urbano,4.04,403.7,2532.8,10.4,222,12.62,0.658,0.673,0.658,0.666
Sin información,Petorca,Humedal no asociado a límite urbano,4.04,403.7,3358.8,7.25,1,8.28,0.173,0.673,0.173,0.423
Sin información,Petorca,Humedal no asociado a límite urbano,4.04,403.7,3354.4,3.87,2,9.31,0.288,0.673,0.288,0.481
Sin información,Petorca,Humedal no asociado a límite urbano,4.04,403.7,3346.5,2.25,12,11.32,0.513,0.673,0.513,0.593
Sin información,Petorca,Humedal no asociado a límite urbano,4.09,387.7,935.0,4.57,1,8.74,0.224,0.682,0.224,0.453
Sin información,Petorca,Humedal no asociado a límite urbano,4.04,403.7,3355.3,4.8,3,9.38,0.296,0.673,0.296,0.485
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,1991.4,16.66,1,7.42,0.077,0.67,0.077,0.373
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3046.4,12.45,8,9.23,0.279,0.567,0.279,0.423
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3082.1,13.0,2,8.09,0.151,0.567,0.151,0.359
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3280.0,15.97,5,8.56,0.205,0.567,0.205,0.386
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,2974.4,10.11,3,8.63,0.212,0.567,0.212,0.389
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2699.9,22.89,42,10.15,0.381,0.67,0.381,0.526
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2225.6,22.43,3,7.79,0.118,0.67,0.118,0.394
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2299.1,20.91,27,9.82,0.344,0.67,0.344,0.507
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3159.9,14.24,16,9.73,0.334,0.567,0.334,0.45
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2379.5,17.14,5,8.49,0.196,0.67,0.196,0.433
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3295.1,15.35,4,8.42,0.189,0.567,0.189,0.378
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2890.3,16.65,15,9.5,0.309,0.67,0.309,0.489
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2409.5,14.91,1,7.54,0.09,0.67,0.09,0.38
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2473.8,18.67,4,8.22,0.166,0.67,0.166,0.418
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2443.1,20.26,473,12.68,0.664,0.67,0.664,0.667
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,2923.5,12.63,4,8.63,0.212,0.567,0.212,0.389
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2489.4,16.59,16,9.57,0.316,0.67,0.316,0.493
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,2963.3,8.26,1,8.14,0.158,0.567,0.158,0.362
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2491.0,13.55,1,7.64,0.101,0.67,0.101,0.385
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2495.5,28.71,5,7.92,0.132,0.67,0.132,0.401
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3207.8,21.62,14,9.16,0.271,0.567,0.271,0.419
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,2922.9,11.98,3,8.46,0.193,0.567,0.193,0.38
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,2843.0,12.92,2,8.09,0.152,0.567,0.152,0.359
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2580.8,7.51,442,13.64,0.772,0.67,0.772,0.721
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2603.4,14.02,65,11.1,0.488,0.67,0.488,0.579
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,2936.7,9.46,3,8.7,0.22,0.567,0.22,0.393
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2723.0,18.23,383,12.58,0.653,0.67,0.653,0.662
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2557.5,21.65,23,9.62,0.323,0.67,0.323,0.496
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2573.6,10.86,3,8.56,0.204,0.67,0.204,0.437
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2639.1,18.08,2,7.74,0.113,0.67,0.113,0.391
Sist. Rio Aconcagua y trib,San Esteban,Humedal asociado a límite urbano,4.02,395.8,2593.0,6.23,687,14.27,0.842,0.67,0.842,0.756
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3115.6,36.2,2,6.93,0.022,0.567,0.022,0.294
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2648.8,15.86,6,8.73,0.223,0.67,0.223,0.446
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,2929.6,12.51,7,9.11,0.265,0.567,0.265,0.416
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,2896.0,12.81,2,8.1,0.153,0.567,0.153,0.36
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2747.0,18.41,47,10.49,0.42,0.67,0.42,0.545
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,2816.5,7.8,54,11.52,0.534,0.567,0.534,0.55
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,2963.7,14.28,30,10.32,0.401,0.567,0.401,0.484
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3218.9,17.86,16,9.49,0.308,0.567,0.308,0.437
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,2974.1,16.33,31,10.21,0.389,0.567,0.389,0.478
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3034.6,14.69,6,8.81,0.232,0.567,0.232,0.399
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2708.6,20.14,40,10.24,0.392,0.67,0.392,0.531
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3081.3,18.57,46,10.46,0.417,0.567,0.417,0.492
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3523.5,19.66,3,7.94,0.135,0.567,0.135,0.351
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3020.6,7.64,243,13.03,0.703,0.567,0.703,0.635
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2842.2,17.91,4,8.26,0.171,0.67,0.171,0.42
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3168.5,16.5,13,9.38,0.295,0.567,0.295,0.431
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3021.8,11.67,19,10.09,0.376,0.567,0.376,0.471
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3217.1,20.83,6,8.43,0.19,0.567,0.19,0.378
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,2893.7,10.19,2,8.34,0.179,0.567,0.179,0.373
Sist. Rio Aconcagua y trib,San Esteban,Humedal asociado a límite urbano,4.02,395.8,2847.4,7.15,516,13.85,0.794,0.67,0.794,0.732
Sist. Rio Aconcagua y trib,San Esteban,Humedal asociado a límite urbano,4.02,395.8,2862.1,8.79,512,13.63,0.77,0.67,0.77,0.72
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3060.4,15.18,4,8.44,0.19,0.567,0.19,0.378
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,3061.0,17.44,9,8.98,0.251,0.67,0.251,0.46
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,2964.5,9.08,15,10.13,0.379,0.567,0.379,0.473
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,2979.1,21.42,2,7.56,0.092,0.67,0.092,0.381
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,3181.4,15.96,3,8.16,0.159,0.67,0.159,0.414
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3110.5,15.35,7,8.89,0.241,0.567,0.241,0.404
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,3275.1,12.58,14,9.73,0.335,0.67,0.335,0.502
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,3284.5,14.6,9,9.17,0.272,0.67,0.272,0.471
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,2877.2,13.66,4,8.55,0.203,0.567,0.203,0.385
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3045.7,10.72,8,9.38,0.296,0.567,0.296,0.431
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3267.0,21.31,2,7.56,0.093,0.567,0.093,0.33
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3253.3,3.84,170,13.37,0.741,0.567,0.741,0.654
Sist. Rio Aconcagua y trib,San Esteban,Humedal asociado a límite urbano,4.02,395.8,2942.0,11.8,333,12.9,0.689,0.67,0.689,0.68
Sist. Rio Aconcagua y trib,San Esteban,Humedal asociado a límite urbano,4.02,395.8,2944.0,10.13,89,11.74,0.56,0.67,0.56,0.615
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,2905.5,14.22,1,7.59,0.096,0.567,0.096,0.331
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3046.4,10.38,24,10.44,0.414,0.567,0.414,0.49
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3166.1,14.72,15,9.63,0.324,0.567,0.324,0.445
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,3048.4,18.72,19,9.6,0.32,0.67,0.32,0.495
Sin información,San Esteban,Humedal no asociado a límite urbano,3.4,332.8,3109.4,14.36,17,9.77,0.34,0.567,0.34,0.453
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,3141.0,21.56,18,9.39,0.297,0.67,0.297,0.483
Sin información,San Esteban,Humedal no asociado a límite urbano,4.02,395.8,3468.3,11.6,2,8.2,0.164,0.67,0.164,0.417
