nom_humed,comuna,dist_drenaje_m,prox_drenaje
Sin información,Casablanca,162.0,0.892
Sin información,Casablanca,60.0,1.0
Sin información,Casablanca,0.0,1.0
Sin información,Casablanca,636.0,0.387
Sin información,Casablanca,277.0,0.77
Sin información,Algarrobo,450.0,0.585
Sin información,Algarrobo,234.0,0.815
Sin información,Casablanca,67.0,0.992
Sin información,Casablanca,834.0,0.177
Sin información,Casablanca,175.0,0.878
Humedal Sector Tunquen 3,Casablanca,484.0,0.549
Humedal Sector Tunquen 4,Casablanca,511.0,0.52
Humedal Sector Tunquen 5,Casablanca,285.0,0.761
Sin información,Casablanca,0.0,1.0
Sin información,Casablanca,85.0,0.974
Sin información,Casablanca,0.0,1.0
Sin información,Casablanca,30.0,1.0
Sin información,Casablanca,750.0,0.266
Sin información,Casablanca,42.0,1.0
Sin información,Casablanca,0.0,1.0
Sin información,Casablanca,42.0,1.0
Sin información,Casablanca,677.0,0.344
Sin información,Casablanca,30.0,1.0
Sin información,Casablanca,30.0,1.0
Sin información,Casablanca,67.0,0.992
Sin información,Casablanca,30.0,1.0
Sin información,Casablanca,90.0,0.968
Sin información,Casablanca,0.0,1.0
Sin información,Casablanca,0.0,1.0
Sin información,Casablanca,0.0,1.0
Sin información,Casablanca,30.0,1.0
Sin información,Casablanca,42.0,1.0
Sin información,Casablanca,371.0,0.669
Sin información,Casablanca,30.0,1.0
Sin información,Casablanca,0.0,1.0
Sin información,Casablanca,0.0,1.0
Sin información,Casablanca,124.0,0.932
Sin información,Casablanca,85.0,0.974
Sin información,Casablanca,0.0,1.0
Sector Quintay N°4,Casablanca,277.0,0.77
Sin información,Casablanca,0.0,1.0
Sin información,Casablanca,0.0,1.0
Sin información,Casablanca,150.0,0.904
Sin información,Valparaíso,85.0,0.974
Sin información,Valparaíso,0.0,1.0
Sin información,Casablanca,30.0,1.0
Sin información,Casablanca,127.0,0.928
Sin información,Valparaíso,67.0,0.992
Sin información,Casablanca,0.0,1.0
Sin información,Quilpué,30.0,1.0
Sin información,Quilpué,30.0,1.0
Sin información,Quilpué,42.0,1.0
Sin información,Valparaíso,30.0,1.0
Sin información,Quilpué,0.0,1.0
Sin información,Quilpué,30.0,1.0
Sin información,Quilpué,108.0,0.949
Sin información,Valparaíso,95.0,0.963
Sin información,Quilpué,162.0,0.892
Sin información,Quilpué,0.0,1.0
Sin información,Quilpué,674.0,0.347
Sin información,Quilpué,42.0,1.0
Embalse El Peral,Valparaíso,402.0,0.636
Sin información,Valparaíso,0.0,1.0
Sin información,Valparaíso,30.0,1.0
Sin información,Valparaíso,42.0,1.0
Sin información,Valparaíso,120.0,0.936
Sin información,Quilpué,67.0,0.992
Sin información,Valparaíso,247.0,0.801
Sin información,Quilpué,433.0,0.604
Sin información,Quilpué,30.0,1.0
Sin información,Villa Alemana,42.0,1.0
Sin información,Quilpué,42.0,1.0
Sin información,Villa Alemana,134.0,0.921
Sin información,Quilpué,67.0,0.992
Sin información,Quilpué,120.0,0.936
Sin información,Quilpué,150.0,0.904
Sin información,Quilpué,124.0,0.932
Sin información,Villa Alemana,85.0,0.974
Sin información,Limache,60.0,1.0
Sin información,Quilpué,127.0,0.928
Sin información,Quilpué,30.0,1.0
Sin información,Valparaíso,858.0,0.151
Sin información,Limache,67.0,0.992
Sin información,Quilpué,60.0,1.0
Sin información,Quilpué,402.0,0.636
Sin información,Villa Alemana,234.0,0.815
Sin información,Limache,180.0,0.872
Sin información,Limache,661.0,0.361
Sin información,Limache,0.0,1.0
Sin información,Limache,180.0,0.872
Sin información,Limache,30.0,1.0
Sin información,Limache,454.0,0.581
Sin información,Olmué,30.0,1.0
Sin información,Limache,180.0,0.872
Sin información,Olmué,192.0,0.859
Sin información,Limache,120.0,0.936
Sin información,Limache,0.0,1.0
Sin información,Limache,60.0,1.0
Sin información,Villa Alemana,0.0,1.0
Sin información,Limache,469.0,0.565
Sin información,Olmué,306.0,0.738
Sin información,Limache,124.0,0.932
Sin información,Limache,42.0,1.0
Sin información,Olmué,60.0,1.0
Sin información,Limache,162.0,0.892
Sin información,Limache,331.0,0.711
Sin información,Olmué,30.0,1.0
Sin información,Limache,600.0,0.426
Sin información,Olmué,595.0,0.43
Sin información,Villa Alemana,170.0,0.883
Sin información,Olmué,379.0,0.66
Sin información,Limache,810.0,0.202
Sin información,Limache,42.0,1.0
Sin información,Olmué,0.0,1.0
Sin información,Villa Alemana,30.0,1.0
Sin información,Limache,85.0,0.974
Sin información,Olmué,390.0,0.649
Sin información,Limache,350.0,0.692
Sin información,Limache,351.0,0.69
Sin información,Limache,960.0,0.043
Sin información,Limache,990.0,0.011
Sin información,Quillota,690.0,0.33
Sin información,Quillota,454.0,0.581
Sin información,Quillota,371.0,0.669
Sin información,Quillota,242.0,0.807
Sin información,Quillota,437.0,0.599
Sin información,Quillota,319.0,0.725
Sin información,Quillota,618.0,0.406
Sin información,Quillota,0.0,1.0
Sin información,Quillota,706.0,0.313
Sin información,Quillota,212.0,0.838
Sin información,Quillota,67.0,0.992
Sin información,Quillota,481.0,0.552
Sin información,Quillota,108.0,0.949
Sin información,Quillota,201.0,0.85
Sin información,Quillota,638.0,0.385
Sin información,Quillota,67.0,0.992
Sin información,Hijuelas,190.0,0.862
Sin información,Quillota,384.0,0.655
Sin información,Llaillay,272.0,0.775
Sin información,Quillota,335.0,0.707
Sin información,Rinconada,85.0,0.974
Sin información,Quillota,201.0,0.85
Sin información,Quillota,108.0,0.949
Sin información,Quillota,95.0,0.963
Sin información,Quillota,192.0,0.859
Sin información,Hijuelas,30.0,1.0
Sin información,Los Andes,212.0,0.838
Sin información,Hijuelas,384.0,0.655
Sin información,Calle Larga,42.0,1.0
Sin información,Quillota,342.0,0.7
Sin información,Hijuelas,162.0,0.892
Sin información,Quillota,108.0,0.949
Sin información,Quillota,598.0,0.428
Sin información,Llaillay,182.0,0.87
Sin información,Quillota,402.0,0.636
Sin información,Quintero,691.0,0.329
Sin información,Llaillay,201.0,0.85
Sin información,Llaillay,42.0,1.0
Sin información,Calle Larga,42.0,1.0
Sin información,Hijuelas,255.0,0.793
Sin información,Llaillay,162.0,0.892
Sin información,Llaillay,42.0,1.0
Sin información,Llaillay,170.0,0.883
Sector Estero Mantagua 1,Quintero,313.0,0.731
Sin información,Quillota,30.0,1.0
Sin información,Quillota,42.0,1.0
Sector Estero Mantagua 2,Quintero,150.0,0.904
Sin información,Quillota,0.0,1.0
Estero Mantagua,Quintero,42.0,1.0
Sin información,Rinconada,170.0,0.883
Sin información,Llaillay,108.0,0.949
Sin información,Llaillay,240.0,0.809
Sin información,Llaillay,60.0,1.0
Sin información,Quillota,551.0,0.478
Sin información,Calle Larga,240.0,0.809
Sin información,Llaillay,295.0,0.75
Sin información,Calle Larga,30.0,1.0
Sin información,La Cruz,270.0,0.777
Sin información,Quillota,108.0,0.949
Sin información,Los Andes,228.0,0.821
Sin información,La Cruz,127.0,0.928
Sin información,Calera,30.0,1.0
Sin información,Hijuelas,510.0,0.521
Sin información,La Cruz,210.0,0.84
Sin información,La Cruz,703.0,0.316
Sin información,Los Andes,67.0,0.992
Sin información,San Esteban,210.0,0.84
Sin información,Quintero,454.0,0.581
Sin información,Quintero,30.0,1.0
Sin información,Hijuelas,698.0,0.322
Sector Estero Mala Cara 2,Quintero,255.0,0.793
Sin información,Llaillay,228.0,0.821
Sector Estero Mala Cara 4,Quintero,30.0,1.0
Sin información,La Cruz,331.0,0.711
Sin información,San Esteban,150.0,0.904
Sin información,La Cruz,1003.0,0.0
Sin información,Quintero,42.0,1.0
Sector Estero Mala Cara 5,Quintero,0.0,1.0
Sin información,Los Andes,335.0,0.707
Estero Mala Cara,Puchuncaví,0.0,1.0
Sin información,San Esteban,180.0,0.872
Sin información,Los Andes,361.0,0.68
Sin información,La Cruz,330.0,0.713
Sin información,Hijuelas,134.0,0.921
Sin información,Panquehue,573.0,0.454
Sin información,San Esteban,382.0,0.658
Sin información,San Felipe,95.0,0.963
Sin información,Puchuncaví,85.0,0.974
Sin información,Hijuelas,162.0,0.892
Sin información,San Felipe,162.0,0.892
Sin información,Santa María,642.0,0.381
Sin información,Santa María,242.0,0.807
Sin información,San Esteban,150.0,0.904
Sin información,Santa María,698.0,0.322
