nom_humed,comuna,pctl_empirico,expo_met,twi,acc_topo,expo_suelo,prox_drenaje,susc_acumulacion,prioridad_inundacion,clase_prioridad,suelo_fuente,cuenca
Estero Cartagena,Cartagena,81.2,0.624,0.33,0.111,0.717,0.829,0.497,0.31,Moderada,FAO,Costeras entre Aconcagua y Maipo
Humedal sector Av. El Rincón,Villa Alemana,93.8,0.876,0.386,0.0,0.55,0.831,0.442,0.387,Alta,CIREN,Rio Aconcagua
Humedales Sector Tunquen,Algarrobo,90.6,0.812,0.804,0.193,0.717,0.93,0.661,0.537,Muy Alta,FAO,Costeras entre Aconcagua y Maipo
Humedales Sector Tunquen,Algarrobo,90.6,0.812,0.571,0.311,0.717,0.973,0.643,0.522,Muy Alta,FAO,Costeras entre Aconcagua y Maipo
Embalse Casablanca 2,Casablanca,90.6,0.812,0.474,0.077,0.568,0.833,0.488,0.396,Alta,CIREN,Costeras entre Aconcagua y Maipo
Embalses Quintay 3,Casablanca,93.8,0.876,0.838,0.099,0.183,1.0,0.53,0.464,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Laguna artificial Bahía,Algarrobo,81.2,0.624,0.301,0.034,0.071,0.899,0.326,0.204,Muy Baja,CIREN,Costeras entre Aconcagua y Maipo
Humedal Sector Esteros de la Laja,Concón,93.8,0.876,0.243,0.0,0.55,1.0,0.448,0.393,Alta,CIREN,Rio Aconcagua
Embalse 1 San Felipe,San Felipe,87.5,0.75,0.383,0.0,0.589,0.682,0.414,0.31,Moderada,CIREN,Rio Aconcagua
Humedales Sector Los Maitenes,Puchuncaví,87.5,0.75,0.459,0.169,1.0,1.0,0.657,0.493,Muy Alta,CIREN,Costeras Ligua-Aconcagua
Embalse 3 Catemu,Catemu,87.5,0.75,0.574,0.051,0.74,0.0,0.341,0.256,Baja,CIREN,Rio Aconcagua
Tranque Antiguo,Catemu,87.5,0.75,0.203,0.603,0.767,0.005,0.394,0.296,Moderada,CIREN,Rio Aconcagua
Tranque Antiguo,Catemu,87.5,0.75,0.176,0.414,0.442,0.0,0.258,0.194,Muy Baja,CIREN,Rio Aconcagua
Estero Puchuncavi - Campiche,Puchuncaví,87.5,0.75,0.448,0.371,1.0,0.956,0.694,0.52,Muy Alta,CIREN,Costeras Ligua-Aconcagua
Estero Puchuncavi - Campiche,Quintero,87.5,0.75,0.305,0.101,1.0,0.893,0.575,0.431,Muy Alta,CIREN,Costeras Ligua-Aconcagua
Sector Quintero N°9,Quintero,87.5,0.75,0.432,0.293,1.0,0.959,0.671,0.503,Muy Alta,CIREN,Costeras Ligua-Aconcagua
Estero Los Molles,La Ligua,90.6,0.812,1.0,0.011,0.236,1.0,0.562,0.456,Muy Alta,FAO,Costeras Quilimari-Petorca
Sin identificar,La Ligua,93.8,0.876,0.696,0.013,0.442,0.709,0.465,0.407,Muy Alta,CIREN,Rio Petorca
Quebrada Talcalan,Papudo,93.8,0.876,1.0,0.872,0.0,1.0,0.718,0.629,Muy Alta,CIREN,Rio Ligua
Sin identificar,Papudo,87.5,0.75,0.632,0.001,0.621,0.542,0.449,0.337,Alta,CIREN,Rio Ligua
Humedal Sector El Alto,Puchuncaví,87.5,0.75,0.394,0.0,1.0,1.0,0.598,0.449,Muy Alta,CIREN,Costeras Ligua-Aconcagua
