nom_humed,region,comuna,tipo,poly_area,shape_area,cod_humed,FID,cut_reg,recent_v2_mm,anomaly_v2_pct,z_v2,pctl_empirico,factor_correccion,clim_om_mean_mm,twi,expo_topo,expo_met,expo_comp_w30,expo_comp_w50,expo_comp_w70,en_p90,alta_robusta
Sist. Rio Aconcagua y trib,Valparaíso,Catemu,Humedal no asociado a límite urbano,53.5542142315,535515.115978,HUR-05-02,85260,5,104.0,119.1,1.4,86.4,0.54,47.46,7.83,0.393,0.728,0.494,0.56,0.628,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Catemu,Humedal no asociado a límite urbano,358.521970607,3585279.84437,HUR-05-02,85261,5,92.1,94.1,1.1,86.4,0.489,47.46,24.08,1.0,0.728,0.918,0.864,0.81,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Catemu,Humedal no asociado a límite urbano,0.0187344695434,187.356579176,HUR-05-02,85262,5,103.0,109.4,1.27,86.4,0.5,49.19,6.08,0.189,0.728,0.351,0.458,0.566,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Catemu,Humedal no asociado a límite urbano,0.0290623533042,290.641797099,HUR-05-02,85263,5,103.0,109.4,1.27,86.4,0.5,49.19,13.06,1.0,0.728,0.918,0.864,0.81,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Catemu,Humedal no asociado a límite urbano,50.8854923758,508888.258212,HUR-05-02,85264,5,103.0,109.4,1.27,86.4,0.5,49.19,8.13,0.428,0.728,0.518,0.578,0.638,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Llaillay,Humedal no asociado a límite urbano,247.800606452,2478137.97861,HUR-05-02,85265,5,103.0,109.4,1.27,86.4,0.5,49.19,12.17,0.9,0.728,0.848,0.814,0.78,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Panquehue,Humedal no asociado a límite urbano,66.6300555998,666230.439185,HUR-05-02,85266,5,84.5,78.1,0.92,86.4,0.431,47.46,8.37,0.456,0.728,0.538,0.592,0.646,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Panquehue,Humedal no asociado a límite urbano,7.04328296496,70426.7890566,HUR-05-02,85267,5,104.0,119.1,1.4,86.4,0.54,47.46,6.89,0.283,0.728,0.416,0.505,0.594,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Panquehue,Humedal no asociado a límite urbano,373.38904761,3733747.33325,HUR-05-02,85268,5,104.0,119.1,1.4,86.4,0.54,47.46,7.79,0.388,0.728,0.49,0.558,0.626,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal no asociado a límite urbano,36.5243871455,365068.378491,HUR-05-02,85269,5,132.4,115.1,1.18,86.4,0.453,61.55,14.42,1.0,0.728,0.918,0.864,0.81,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal no asociado a límite urbano,12.2211827046,122147.132995,HUR-05-02,85270,5,126.6,105.7,1.09,86.4,0.466,61.55,16.69,1.0,0.728,0.918,0.864,0.81,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.369174907764,3690.21298815,HUR-05-02,85271,5,70.1,42.0,0.47,72.7,0.446,49.37,20.16,1.0,0.454,0.836,0.727,0.618,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.127822934275,1277.70854877,HUR-05-02,85272,5,70.1,42.0,0.47,72.7,0.446,49.37,7.81,0.391,0.454,0.41,0.422,0.435,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Calera,Humedal asociado a límite urbano,319.848999638,3199199.65057,HUR-05-02,85273,5,124.8,210.3,2.53,95.5,0.64,40.22,10.23,0.673,0.91,0.744,0.792,0.839,True,True
Sist. Rio Aconcagua y trib,Valparaíso,Hijuelas,Humedal asociado a límite urbano,22.1847174185,221894.007999,HUR-05-02,85274,5,124.8,210.3,2.53,95.5,0.64,40.22,7.17,0.316,0.91,0.494,0.613,0.732,True,False
Sist. Rio Aconcagua y trib,Valparaíso,Hijuelas,Humedal asociado a límite urbano,85.946666145,859638.88051,HUR-05-02,85275,5,124.8,210.3,2.53,95.5,0.64,40.22,11.04,0.767,0.91,0.81,0.838,0.867,True,True
Sist. Rio Aconcagua y trib,Valparaíso,Hijuelas,Humedal asociado a límite urbano,379.37784886,3794255.38718,HUR-05-02,85276,5,117.6,139.1,1.61,86.4,0.571,49.19,7.83,0.392,0.728,0.493,0.56,0.627,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Nogales,Humedal asociado a límite urbano,0.483458684285,4835.84837315,HUR-05-02,85277,5,118.0,193.4,2.33,90.9,0.571,40.22,6.47,0.235,0.818,0.41,0.526,0.643,True,False
Sist. Rio Aconcagua y trib,Valparaíso,Llaillay,Humedal asociado a límite urbano,15.3211590011,153223.178401,HUR-05-02,85278,5,103.0,109.4,1.27,86.4,0.5,49.19,8.35,0.454,0.728,0.536,0.591,0.646,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Llaillay,Humedal asociado a límite urbano,0.294633666988,2946.6426977,HUR-05-02,85279,5,117.6,139.1,1.61,86.4,0.571,49.19,7.97,0.409,0.728,0.505,0.568,0.632,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Llaillay,Humedal asociado a límite urbano,23.1220855158,231242.249231,HUR-05-02,85280,5,117.6,139.1,1.61,86.4,0.571,49.19,7.49,0.353,0.728,0.465,0.54,0.615,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Hijuelas,Humedal no asociado a límite urbano,0.846774697142,8468.32502752,HUR-05-02,85281,5,103.0,109.4,1.27,86.4,0.5,49.19,7.61,0.368,0.728,0.476,0.548,0.62,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal no asociado a límite urbano,61.4817020734,614567.112653,HUR-05-02,85282,5,68.1,10.6,0.11,59.1,0.433,61.55,18.91,1.0,0.182,0.755,0.591,0.427,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal asociado a límite urbano,63.1837908003,631688.333849,HUR-05-02,85283,5,63.4,33.6,0.39,77.3,0.391,47.46,7.22,0.322,0.546,0.389,0.434,0.479,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal asociado a límite urbano,44.1255976651,441134.428376,HUR-05-02,85284,5,55.4,16.7,0.2,68.2,0.352,47.46,7.5,0.355,0.364,0.358,0.36,0.361,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal asociado a límite urbano,0.566406639025,5662.36184258,HUR-05-02,85285,5,55.4,16.7,0.2,68.2,0.352,47.46,8.3,0.447,0.364,0.422,0.406,0.389,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal asociado a límite urbano,0.911789185545,9115.12303362,HUR-05-02,85286,5,55.4,16.7,0.2,68.2,0.352,47.46,7.88,0.399,0.364,0.388,0.382,0.374,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal asociado a límite urbano,0.680894689592,6806.84295332,HUR-05-02,85287,5,55.4,16.7,0.2,68.2,0.352,47.46,14.29,1.0,0.364,0.809,0.682,0.555,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal asociado a límite urbano,0.618015756805,6178.23088998,HUR-05-02,85288,5,55.4,16.7,0.2,68.2,0.352,47.46,6.73,0.264,0.364,0.294,0.314,0.334,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal asociado a límite urbano,0.0503314895911,503.149711133,HUR-05-02,85289,5,51.1,12.2,0.13,54.5,0.397,45.54,6.24,0.208,0.09,0.173,0.149,0.125,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal asociado a límite urbano,0.181378129296,1813.17705382,HUR-05-02,85290,5,51.1,12.2,0.13,54.5,0.397,45.54,6.56,0.245,0.09,0.198,0.167,0.136,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal asociado a límite urbano,1.00113376251,10008.036002,HUR-05-02,85291,5,51.1,12.2,0.13,54.5,0.397,45.54,6.5,0.238,0.09,0.194,0.164,0.134,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal asociado a límite urbano,1.47711786462,14766.082438,HUR-05-02,85292,5,51.1,12.2,0.13,54.5,0.397,45.54,21.8,1.0,0.09,0.727,0.545,0.363,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal asociado a límite urbano,0.387326741477,3872.0519271,HUR-05-02,85293,5,55.4,16.7,0.2,68.2,0.352,47.46,20.22,1.0,0.364,0.809,0.682,0.555,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal asociado a límite urbano,0.139138751213,1390.93206404,HUR-05-02,85294,5,51.1,12.2,0.13,54.5,0.397,45.54,14.27,1.0,0.09,0.727,0.545,0.363,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal asociado a límite urbano,0.220693489694,2206.22080121,HUR-05-02,85295,5,51.1,12.2,0.13,54.5,0.397,45.54,21.22,1.0,0.09,0.727,0.545,0.363,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal asociado a límite urbano,2.02964345686,20289.4402594,HUR-05-02,85296,5,51.1,12.2,0.13,54.5,0.397,45.54,20.62,1.0,0.09,0.727,0.545,0.363,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal asociado a límite urbano,0.0445455847489,445.313612579,HUR-05-02,85297,5,51.1,12.2,0.13,54.5,0.397,45.54,20.02,1.0,0.09,0.727,0.545,0.363,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal asociado a límite urbano,0.0931057891408,930.761469258,HUR-05-02,85298,5,51.1,12.2,0.13,54.5,0.397,45.54,20.28,1.0,0.09,0.727,0.545,0.363,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal asociado a límite urbano,0.524634777818,5244.67762621,HUR-05-02,85299,5,51.1,12.2,0.13,54.5,0.397,45.54,8.24,0.441,0.09,0.336,0.266,0.195,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal asociado a límite urbano,3.44044866119,34392.0493613,HUR-05-02,85300,5,51.1,12.2,0.13,54.5,0.397,45.54,20.79,1.0,0.09,0.727,0.545,0.363,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal asociado a límite urbano,96.0173126504,959919.107452,HUR-05-02,85301,5,55.4,16.7,0.2,68.2,0.352,47.46,13.61,1.0,0.364,0.809,0.682,0.555,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal asociado a límite urbano,0.575334726362,5751.6578884,HUR-05-02,85302,5,55.4,16.7,0.2,68.2,0.352,47.46,6.83,0.276,0.364,0.302,0.32,0.338,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal asociado a límite urbano,10.7073037552,107040.376863,HUR-05-02,85303,5,55.4,16.7,0.2,68.2,0.352,47.46,20.19,1.0,0.364,0.809,0.682,0.555,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal asociado a límite urbano,0.288860035579,2887.69871245,HUR-05-02,85304,5,55.4,16.7,0.2,68.2,0.352,47.46,6.14,0.196,0.364,0.246,0.28,0.314,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal asociado a límite urbano,0.0508567309867,508.40892476,HUR-05-02,85305,5,55.4,16.7,0.2,68.2,0.352,47.46,21.72,1.0,0.364,0.809,0.682,0.555,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal asociado a límite urbano,3.20076921205,31996.8820354,HUR-05-02,85306,5,51.1,12.2,0.13,54.5,0.397,45.54,21.16,1.0,0.09,0.727,0.545,0.363,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal asociado a límite urbano,0.0606965127874,606.775554879,HUR-05-02,85307,5,55.4,16.7,0.2,68.2,0.352,47.46,19.77,1.0,0.364,0.809,0.682,0.555,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal asociado a límite urbano,0.115220870656,1151.84612089,HUR-05-02,85308,5,55.4,16.7,0.2,68.2,0.352,47.46,20.88,1.0,0.364,0.809,0.682,0.555,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal asociado a límite urbano,1.25525038492,12548.163574,HUR-05-02,85309,5,51.1,12.2,0.13,54.5,0.397,45.54,20.31,1.0,0.09,0.727,0.545,0.363,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal asociado a límite urbano,0.141280105822,1412.35361309,HUR-05-02,85310,5,55.4,16.7,0.2,68.2,0.352,47.46,9.68,0.609,0.364,0.536,0.486,0.438,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal asociado a límite urbano,0.656499622636,6562.88281746,HUR-05-02,85311,5,51.1,12.2,0.13,54.5,0.397,45.54,21.47,1.0,0.09,0.727,0.545,0.363,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal asociado a límite urbano,0.734679141616,7344.3814318,HUR-05-02,85312,5,51.1,12.2,0.13,54.5,0.397,45.54,20.64,1.0,0.09,0.727,0.545,0.363,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal asociado a límite urbano,2.61601714063,26150.8465984,HUR-05-02,85313,5,51.1,12.2,0.13,54.5,0.397,45.54,21.27,1.0,0.09,0.727,0.545,0.363,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal asociado a límite urbano,1.2515996373,12512.0188649,HUR-05-02,85314,5,51.1,12.2,0.13,54.5,0.397,45.54,19.98,1.0,0.09,0.727,0.545,0.363,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal asociado a límite urbano,0.0818233752233,817.971354286,HUR-05-02,85315,5,51.1,12.2,0.13,54.5,0.397,45.54,7.04,0.301,0.09,0.238,0.196,0.153,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal asociado a límite urbano,0.851453164035,8511.44995068,HUR-05-02,85316,5,51.1,12.2,0.13,54.5,0.397,45.54,8.38,0.457,0.09,0.347,0.274,0.2,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal asociado a límite urbano,0.281153600471,2810.5053165,HUR-05-02,85317,5,51.1,12.2,0.13,54.5,0.397,45.54,5.65,0.139,0.09,0.124,0.114,0.105,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal asociado a límite urbano,0.192404420597,1923.34013637,HUR-05-02,85318,5,51.1,12.2,0.13,54.5,0.397,45.54,21.76,1.0,0.09,0.727,0.545,0.363,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Felipe,Humedal asociado a límite urbano,256.93408403,2568858.41805,HUR-05-02,85319,5,62.2,31.1,0.36,77.3,0.384,47.46,6.94,0.289,0.546,0.366,0.418,0.469,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Santa María,Humedal asociado a límite urbano,104.576340065,1045535.67667,HUR-05-02,85320,5,62.2,31.1,0.36,77.3,0.384,47.46,7.92,0.403,0.546,0.446,0.475,0.503,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Felipe,Humedal asociado a límite urbano,0.190204445727,1901.74140263,HUR-05-02,85321,5,84.5,78.1,0.92,86.4,0.431,47.46,17.35,1.0,0.728,0.918,0.864,0.81,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Calle Larga,Humedal asociado a límite urbano,107.571406324,1075430.11206,HUR-05-02,85322,5,62.0,25.6,0.29,63.6,0.418,49.37,16.77,1.0,0.272,0.782,0.636,0.49,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Calle Larga,Humedal asociado a límite urbano,8.39256682845,83909.2626506,HUR-05-02,85323,5,65.9,41.5,0.52,72.7,0.444,46.57,18.13,1.0,0.454,0.836,0.727,0.618,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Rinconada,Humedal asociado a límite urbano,0.939989452852,9398.32792301,HUR-05-02,85324,5,84.5,78.1,0.92,86.4,0.431,47.46,6.45,0.232,0.728,0.381,0.48,0.579,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Rinconada,Humedal asociado a límite urbano,2.96603097929,29655.3704141,HUR-05-02,85325,5,84.5,78.1,0.92,86.4,0.431,47.46,7.84,0.394,0.728,0.494,0.561,0.628,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Rinconada,Humedal asociado a límite urbano,0.0134227142286,134.204755229,HUR-05-02,85326,5,70.6,48.8,0.57,81.8,0.463,47.46,8.68,0.493,0.636,0.536,0.564,0.593,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Rinconada,Humedal asociado a límite urbano,0.424646718432,4245.76227627,HUR-05-02,85327,5,70.6,48.8,0.57,81.8,0.463,47.46,9.93,0.637,0.636,0.637,0.637,0.636,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Rinconada,Humedal asociado a límite urbano,0.0846552697514,846.411800877,HUR-05-02,85328,5,70.6,48.8,0.57,81.8,0.463,47.46,12.6,0.949,0.636,0.855,0.792,0.73,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Rinconada,Humedal asociado a límite urbano,1.11247947375,11122.9798368,HUR-05-02,85329,5,70.6,48.8,0.57,81.8,0.463,47.46,15.39,1.0,0.636,0.891,0.818,0.745,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Rinconada,Humedal asociado a límite urbano,0.482771468796,4826.9228555,HUR-05-02,85330,5,70.6,48.8,0.57,81.8,0.463,47.46,7.65,0.372,0.636,0.451,0.504,0.557,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Rinconada,Humedal asociado a límite urbano,41.5764326658,415691.101251,HUR-05-02,85331,5,63.4,33.6,0.39,77.3,0.391,47.46,7.06,0.303,0.546,0.376,0.424,0.473,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Rinconada,Humedal asociado a límite urbano,1.94746597446,19470.8940308,HUR-05-02,85332,5,65.9,41.5,0.52,72.7,0.444,46.57,15.97,1.0,0.454,0.836,0.727,0.618,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Felipe,Humedal asociado a límite urbano,16.6542315156,166515.84796,HUR-05-02,85333,5,84.5,78.1,0.92,86.4,0.431,47.46,9.08,0.539,0.728,0.596,0.634,0.671,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Felipe,Humedal asociado a límite urbano,0.2694117824,2693.66576937,HUR-05-02,85334,5,84.5,78.1,0.92,86.4,0.431,47.46,7.17,0.316,0.728,0.44,0.522,0.604,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Felipe,Humedal asociado a límite urbano,4.91695449547,49161.4151076,HUR-05-02,85335,5,70.6,48.8,0.57,81.8,0.463,47.46,9.56,0.595,0.636,0.607,0.615,0.624,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Felipe,Humedal asociado a límite urbano,2.97728731555,29767.9636806,HUR-05-02,85336,5,70.6,48.8,0.57,81.8,0.463,47.46,14.44,1.0,0.636,0.891,0.818,0.745,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Felipe,Humedal asociado a límite urbano,0.0488587543691,488.505496218,HUR-05-02,85337,5,70.6,48.8,0.57,81.8,0.463,47.46,9.45,0.581,0.636,0.597,0.608,0.619,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Calera,Humedal asociado a límite urbano,42.4571024003,424683.677572,HUR-05-02,85338,5,118.0,193.4,2.33,90.9,0.571,40.22,7.65,0.372,0.818,0.506,0.595,0.684,True,False
Sist. Rio Aconcagua y trib,Valparaíso,La Cruz,Humedal asociado a límite urbano,277.765229121,2778444.0725,HUR-05-02,85339,5,124.7,210.0,2.53,95.5,0.653,40.22,8.57,0.479,0.91,0.608,0.694,0.781,True,True
Sist. Rio Aconcagua y trib,Valparaíso,Nogales,Humedal asociado a límite urbano,96.0191453279,960458.744538,HUR-05-02,85340,5,124.8,210.3,2.53,95.5,0.64,40.22,7.84,0.394,0.91,0.549,0.652,0.755,True,False
Sist. Rio Aconcagua y trib,Valparaíso,Quillota,Humedal asociado a límite urbano,232.57124354,2326401.58793,HUR-05-02,85341,5,124.7,210.0,2.53,95.5,0.653,40.22,8.46,0.466,0.91,0.599,0.688,0.777,True,False
Sist. Rio Aconcagua y trib,Valparaíso,Hijuelas,Humedal asociado a límite urbano,0.0838613669176,838.69700526,HUR-05-02,85342,5,117.6,139.1,1.61,86.4,0.571,49.19,7.53,0.358,0.728,0.469,0.543,0.617,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Hijuelas,Humedal asociado a límite urbano,0.402090512261,4021.25660295,HUR-05-02,85343,5,117.6,139.1,1.61,86.4,0.571,49.19,7.26,0.326,0.728,0.447,0.527,0.607,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Hijuelas,Humedal asociado a límite urbano,9.31051709666,93112.4743924,HUR-05-02,85344,5,103.0,109.4,1.27,86.4,0.5,49.19,13.18,1.0,0.728,0.918,0.864,0.81,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Llaillay,Humedal asociado a límite urbano,158.319595412,1583250.14879,HUR-05-02,85345,5,92.1,94.1,1.1,86.4,0.489,47.46,6.56,0.245,0.728,0.39,0.486,0.583,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Limache,Humedal asociado a límite urbano,308.416152437,3085484.76331,HUR-05-02,85346,5,126.4,207.8,2.84,95.5,0.628,41.07,8.1,0.424,0.91,0.57,0.667,0.764,True,False
Sist. Rio Aconcagua y trib,Valparaíso,Concón,Humedal asociado a límite urbano,4.59807511398,46003.365165,HUR-05-02,85347,5,126.4,207.8,2.84,95.5,0.628,41.07,8.72,0.497,0.91,0.621,0.704,0.786,True,True
Sist. Rio Aconcagua y trib,Valparaíso,Quillota,Humedal asociado a límite urbano,745.163873793,7454384.58021,HUR-05-02,85348,5,149.8,249.8,3.34,95.5,0.744,42.82,8.21,0.437,0.91,0.579,0.674,0.768,True,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal no asociado a límite urbano,37.8005002137,377800.453452,HUR-05-02,85349,5,123.0,47.6,0.53,72.7,0.47,83.35,16.49,1.0,0.454,0.836,0.727,0.618,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0157484640601,157.403324486,HUR-05-02,85350,5,126.6,105.7,1.09,86.4,0.466,61.55,17.51,1.0,0.728,0.918,0.864,0.81,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.124184723428,1241.38889419,HUR-05-02,85351,5,51.1,12.2,0.13,54.5,0.397,45.54,21.01,1.0,0.09,0.727,0.545,0.363,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.102776945911,1027.39136951,HUR-05-02,85352,5,51.1,12.2,0.13,54.5,0.397,45.54,19.25,1.0,0.09,0.727,0.545,0.363,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0208671263288,208.592408581,HUR-05-02,85353,5,51.1,12.2,0.13,54.5,0.397,45.54,6.07,0.188,0.09,0.159,0.139,0.119,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.579164883,5789.44559243,HUR-05-02,85354,5,51.1,12.2,0.13,54.5,0.397,45.54,19.72,1.0,0.09,0.727,0.545,0.363,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0698965348431,698.698754375,HUR-05-02,85355,5,51.1,12.2,0.13,54.5,0.397,45.54,19.22,1.0,0.09,0.727,0.545,0.363,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.0186939083229,186.86912524,HUR-05-02,85356,5,68.1,10.6,0.11,59.1,0.433,61.55,6.31,0.216,0.182,0.206,0.199,0.192,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.418648012331,4184.86955608,HUR-05-02,85357,5,68.1,10.6,0.11,59.1,0.433,61.55,7.21,0.321,0.182,0.279,0.252,0.224,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal no asociado a límite urbano,0.250855020808,2507.57353887,HUR-05-02,85358,5,68.1,10.6,0.11,59.1,0.433,61.55,19.64,1.0,0.182,0.755,0.591,0.427,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.14481800924,11443.7291969,HUR-05-02,85359,5,70.1,42.0,0.47,72.7,0.446,49.37,20.8,1.0,0.454,0.836,0.727,0.618,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal no asociado a límite urbano,1.32656752197,13260.426577,HUR-05-02,85360,5,70.1,42.0,0.47,72.7,0.446,49.37,6.55,0.244,0.454,0.307,0.349,0.391,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal no asociado a límite urbano,31.822867448,318100.201328,HUR-05-02,85361,5,94.4,37.0,0.41,68.2,0.465,68.9,16.86,1.0,0.364,0.809,0.682,0.555,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal no asociado a límite urbano,3.76261975825,37612.1527109,HUR-05-02,85362,5,51.1,12.2,0.13,54.5,0.397,45.54,19.93,1.0,0.09,0.727,0.545,0.363,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal no asociado a límite urbano,2.11902681269,21182.2115192,HUR-05-02,85363,5,51.1,12.2,0.13,54.5,0.397,45.54,19.51,1.0,0.09,0.727,0.545,0.363,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal no asociado a límite urbano,1.54592887722,15453.2885998,HUR-05-02,85364,5,68.1,10.6,0.11,59.1,0.433,61.55,9.25,0.559,0.182,0.446,0.371,0.295,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal no asociado a límite urbano,0.422735474338,4225.71052639,HUR-05-02,85365,5,68.1,10.6,0.11,59.1,0.433,61.55,8.04,0.417,0.182,0.346,0.3,0.252,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal no asociado a límite urbano,1.593323226,15926.9609383,HUR-05-02,85366,5,70.1,42.0,0.47,72.7,0.446,49.37,8.5,0.471,0.454,0.466,0.462,0.459,False,False
Sist. Rio Aconcagua y trib,Valparaíso,San Esteban,Humedal no asociado a límite urbano,1.74003029463,17393.3490599,HUR-05-02,85367,5,70.1,42.0,0.47,72.7,0.446,49.37,7.36,0.338,0.454,0.373,0.396,0.419,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal no asociado a límite urbano,5.48373617227,54814.3438894,HUR-05-02,85368,5,70.1,42.0,0.47,72.7,0.446,49.37,5.26,0.093,0.454,0.201,0.274,0.346,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Los Andes,Humedal no asociado a límite urbano,64.8344626303,648043.320844,HUR-05-02,85369,5,116.9,69.7,0.77,77.3,0.471,68.9,14.96,1.0,0.546,0.864,0.773,0.682,False,False
Sist. Rio Aconcagua y trib,Valparaíso,Quintero,Humedal asociado a límite urbano,0.0352815231473,352.973201427,HUR-05-02,85370,5,126.4,207.8,2.84,95.5,0.628,41.07,8.42,0.462,0.91,0.596,0.686,0.776,True,False
Sist. Rio Aconcagua y trib,Valparaíso,Quintero,Humedal asociado a límite urbano,0.0274252178231,274.384478376,HUR-05-02,85371,5,126.4,207.8,2.84,95.5,0.628,41.07,9.78,0.62,0.91,0.707,0.765,0.823,True,True
