nom_humed,region,comuna,tipo,poly_area,shape_area,cod_humed,FID,cut_reg,recent_v2_mm,anomaly_v2_pct,z_v2,pctl_empirico,factor_correccion,clim_om_mean_mm,twi,expo_topo,expo_met,expo_comp_w30,expo_comp_w50,expo_comp_w70,en_p90,alta_robusta
Embalse,Valparaíso,San Antonio,Humedal no asociado a límite urbano,1.57425475786,15750.8537022,HUR-05-46,56170,5,63.5,38.4,0.56,77.3,0.375,45.89,14.91,1.0,0.546,0.864,0.773,0.682,False,False
Embalse,Valparaíso,San Antonio,Humedal no asociado a límite urbano,3.74418477684,37461.7398778,HUR-05-47,56171,5,63.5,38.4,0.56,77.3,0.375,45.89,7.39,0.342,0.546,0.403,0.444,0.485,False,False
Quebrada Las Petras,Valparaíso,Algarrobo,Humedal asociado a límite urbano,0.219288976104,2194.53001094,HUR-05-50,56172,5,71.6,57.5,0.78,77.3,0.461,45.47,9.12,0.543,0.546,0.544,0.544,0.545,False,False
Quebrada Las Petras,Valparaíso,El Quisco,Humedal asociado a límite urbano,0.180619542549,1807.5469326,HUR-05-50,56173,5,71.6,57.5,0.78,77.3,0.461,45.47,13.69,1.0,0.546,0.864,0.773,0.682,False,False
Quebrada El Batro,Valparaíso,El Quisco,Humedal asociado a límite urbano,0.424525861006,4248.42200664,HUR-05-51,56174,5,71.6,57.5,0.78,77.3,0.461,45.47,7.98,0.41,0.546,0.451,0.478,0.505,False,False
Quebrada Pino Mar,Valparaíso,El Quisco,Humedal asociado a límite urbano,0.693361336109,6938.78759974,HUR-05-52,56175,5,71.6,57.5,0.78,77.3,0.461,45.47,9.03,0.533,0.546,0.537,0.54,0.542,False,False
Estero El Totoral,Valparaíso,El Quisco,Humedal asociado a límite urbano,1.75426217238,17555.8000439,HUR-05-53,56176,5,59.5,30.9,0.42,77.3,0.406,45.47,15.84,1.0,0.546,0.864,0.773,0.682,False,False
Embalse,Valparaíso,San Antonio,Humedal no asociado a límite urbano,1.05168154552,10522.2815149,HUR-05-54,56177,5,63.5,38.4,0.56,77.3,0.375,45.89,6.84,0.277,0.546,0.358,0.412,0.465,False,False
Embalse sector Quebrada Los Coiles,Valparaíso,San Antonio,Humedal no asociado a límite urbano,8.40487921486,84081.3799003,HUR-05-57,56178,5,64.6,40.8,0.6,77.3,0.387,45.89,15.8,1.0,0.546,0.864,0.773,0.682,False,False
Embalse sector Quebrada Los Coiles,Valparaíso,San Antonio,Humedal no asociado a límite urbano,3.27006775679,32713.1401297,HUR-05-57,56179,5,67.0,47.4,0.64,77.3,0.378,45.47,9.17,0.549,0.546,0.548,0.548,0.547,False,False
Humedal sector Las Palmas,Valparaíso,Cartagena,Humedal no asociado a límite urbano,16.3231411109,163306.765927,HUR-05-59,56180,5,67.0,47.4,0.64,77.3,0.378,45.47,9.47,0.584,0.546,0.573,0.565,0.557,False,False
Estero de la Viña,Valparaíso,Cartagena,Humedal no asociado a límite urbano,109.428812715,1094782.8937,HUR-05-60,56181,5,67.0,47.4,0.64,77.3,0.378,45.47,12.7,0.96,0.546,0.836,0.753,0.67,False,False
