nom_humed,comuna,concavidad,depresion_m,acc_topo
Estero del Rosario de Cordova,El Quisco,-0.0155,0.0,0.0
Estero del Rosario de Cordova,El Quisco,-0.0121,0.91,0.135
Estero del Rosario de Cordova,El Quisco,-0.0111,0.0,0.0
Estero del Rosario de Cordova,El Quisco,-0.019,4.43,0.657
Estero del Rosario de Cordova,El Quisco,-0.0143,5.51,0.818
Estero del Rosario de Cordova,El Quisco,-0.0117,0.0,0.0
Estero del Rosario de Cordova,El Quisco,-0.0165,3.05,0.453
Estero del Rosario de Cordova,El Quisco,-0.0043,0.0,0.0
Estero del Rosario de Cordova,El Tabo,-0.0045,1.28,0.19
Estero del Rosario de Cordova,El Tabo,-0.0043,2.19,0.325
Estero del Rosario de Cordova,El Tabo,-0.0011,0.0,0.0
Estero del Rosario de Cordova,El Tabo,-0.0067,0.31,0.046
Estero del Rosario de Cordova,El Tabo,-0.006,0.0,0.0
Estero del Rosario de Cordova,El Tabo,-0.0076,0.0,0.0
Estero del Rosario de Cordova,El Tabo,-0.0173,3.07,0.455
Estero del Rosario de Cordova,El Tabo,-0.0176,6.5,0.964
Estero del Rosario de Cordova,El Tabo,-0.0179,10.66,1.0
Estero del Rosario de Cordova,El Tabo,-0.0178,2.88,0.427
Estero del Rosario de Cordova,El Tabo,-0.0035,0.0,0.0
Estero del Rosario de Cordova,El Tabo,-0.0028,1.27,0.188
Estero La Cigüeña,Cartagena,0.0002,0.0,0.021
Estero La Cigüeña,Cartagena,-0.0002,0.0,0.0
Estero La Cigüeña,El Tabo,-0.0024,0.0,0.0
Estero La Cigüeña,El Tabo,0.0,0.0,0.007
Estero La Cigüeña,El Tabo,-0.0009,0.0,0.0
Quebrada Los Hualpes,Casablanca,-0.001,0.0,0.0
Estero Las Tablas,Valparaíso,-0.0024,3.49,0.518
Estero del Sauce,Valparaíso,0.0016,0.0,0.116
Estero Mantagua,Quintero,-0.0027,0.33,0.049
Estero Los Molles,La Ligua,-0.0048,0.0,0.0
Estero El Pangal,La Ligua,-0.0059,0.0,0.0
Humedal Pichicuy,La Ligua,-0.0082,0.0,0.0
Rio Petorca- Rio La Ligua,La Ligua,-0.0007,3.87,0.574
Rio Petorca- Rio La Ligua,Papudo,-0.0009,1.73,0.257
Rio Petorca- Rio La Ligua,Papudo,-0.0003,1.39,0.206
Rio Petorca- Rio La Ligua,Papudo,-0.0005,0.0,0.0
Humedal Pichicuy,La Ligua,-0.0001,0.0,0.001
Sist. Rio Maipo y Estero El Sauce,San Antonio,-0.0014,0.0,0.0
Sist. Rio Maipo y Estero El Sauce,San Antonio,0.0037,0.0,0.272
Sist. Rio Maipo y Estero El Sauce,Santo Domingo,0.0024,0.0,0.178
Sist. Rio Maipo y Estero El Sauce,Santo Domingo,-0.0028,2.44,0.362
Des. Rio Maipo,Santo Domingo,-0.0033,0.0,0.0
Quebrada Cruz de Piedra,Papudo,-0.0,0.0,0.006
Des.Estero Mantagua,Quintero,0.0005,0.0,0.04
Laguna de Llolleo,San Antonio,0.0001,0.0,0.016
Laguna de Llolleo,San Antonio,-0.0004,0.0,0.0
Des.Estero Mantagua,Quintero,0.0036,0.0,0.261
Playa El Abanico,Puchuncaví,0.0057,0.0,0.41
Quebrada Las Petras,Algarrobo,-0.0003,0.0,0.0
El Canelillo,Algarrobo,-0.0018,0.0,0.0
Playa Sector nautico,Algarrobo,-0.0055,0.0,0.0
Estero San Juan,San Antonio,-0.0025,2.13,0.315
H. Estuario Los Molles,La Ligua,-0.0041,0.0,0.0
H. Estuario Los Molles,La Ligua,-0.0012,0.0,0.0
Sector Quintay N°1,Casablanca,-0.0001,1.21,0.18
Estero El Membrillo,Algarrobo,0.0001,0.0,0.013
Sector Playa Cachagua,Zapallar,-0.0013,1.18,0.175
Humedal Sector Las Gaviotas,Quintero,-0.007,0.0,0.0
Humedal Sector Las Gaviotas,Quintero,0.0026,0.0,0.193
Sin información,Casablanca,0.0044,0.0,0.319
Sin información,Casablanca,-0.0005,5.1,0.756
Sin información,Casablanca,-0.0006,3.48,0.516
Sin información,Casablanca,-0.0008,3.55,0.527
Sin información,Quilpué,0.0023,0.0,0.167
Sin información,Quilpué,0.0013,0.0,0.1
Sin información,Valparaíso,-0.0015,0.0,0.0
Sin información,Quilpué,-0.0027,0.0,0.0
Sin información,Quilpué,-0.0,0.0,0.003
Sin información,Quilpué,-0.0031,0.0,0.0
Sin información,Villa Alemana,0.0029,0.0,0.213
Sin información,Villa Alemana,0.0002,0.0,0.018
Sin información,Villa Alemana,-0.002,0.0,0.0
Embalse Poza Azul,Quilpué,-0.0011,0.83,0.123
Sin información,Quilpué,-0.0024,5.71,0.847
Sin información,Villa Alemana,0.0031,0.0,0.228
Sin información,Limache,-0.0052,0.0,0.0
Sin información,Limache,-0.0043,0.65,0.097
Sin información,Limache,-0.0006,9.28,1.0
Sin información,Concón,-0.0072,3.49,0.518
Sin información,Concón,-0.0027,5.62,0.833
Sin información,Concón,-0.0061,4.37,0.648
Sin información,Nogales,0.0018,1.39,0.207
Sin información,Nogales,0.004,0.0,0.289
Sin información,Zapallar,-0.0015,4.3,0.638
Sin información,Santo Domingo,,,
Sin información,Santo Domingo,-0.0077,0.0,0.0
Sin información,Santo Domingo,-0.007,18.71,1.0
Sin información,Santo Domingo,0.0013,0.0,0.1
Sin información,Santo Domingo,-0.0034,0.0,0.0
Sin información,Santo Domingo,-0.0039,0.0,0.0
Sin información,Santo Domingo,0.0002,0.0,0.022
Sin información,Santo Domingo,-0.0011,0.0,0.0
Sin información,Santo Domingo,-0.006,1.43,0.212
Sin información,Santo Domingo,-0.007,0.0,0.0
Sin información,Santo Domingo,0.0006,0.0,0.048
Sin información,Santo Domingo,0.0013,0.0,0.101
Sin información,Santo Domingo,-0.0058,0.0,0.0
Sin información,Santo Domingo,-0.0003,0.0,0.0
Sin información,Santo Domingo,-0.0032,0.0,0.0
Sin información,Santo Domingo,-0.0039,0.0,0.0
Sin información,Santo Domingo,-0.0071,1.02,0.151
Sin información,Santo Domingo,-0.0051,3.46,0.514
Sin información,Santo Domingo,-0.0086,0.27,0.04
Sin información,Santo Domingo,-0.0086,3.21,0.476
Sin información,Santo Domingo,-0.0063,2.68,0.397
Sin información,Santo Domingo,-0.0044,1.68,0.25
Sin información,Santo Domingo,-0.0012,0.0,0.0
Sin información,Santo Domingo,-0.0083,0.0,0.0
Sin información,Santo Domingo,0.0009,1.41,0.21
Sin información,Santo Domingo,-0.0067,0.0,0.0
Sin información,San Antonio,0.0001,0.0,0.015
Sin información,San Antonio,-0.0003,0.0,0.0
Sin información,San Antonio,-0.0028,0.0,0.0
Sin información,San Antonio,-0.0043,0.0,0.0
Sin información,San Antonio,-0.0003,0.0,0.0
Sin información,San Antonio,-0.0015,0.0,0.0
Sin información,San Antonio,-0.0028,0.0,0.0
Sin información,San Antonio,0.0042,0.0,0.308
Sin información,San Antonio,-0.0095,0.0,0.0
Sin información,San Antonio,0.0046,0.0,0.333
Sin información,San Antonio,0.0107,0.0,0.766
Sin información,San Antonio,-0.0157,0.0,0.0
Sin información,Santo Domingo,-0.0016,0.0,0.0
Sin información,San Antonio,0.0079,0.0,0.566
Sin información,San Antonio,0.0087,0.0,0.623
Sin información,San Antonio,-0.0071,0.0,0.0
Sin información,San Antonio,0.0239,0.0,1.0
Sin información,San Antonio,-0.004,0.79,0.118
Sin información,Santo Domingo,-0.0054,0.0,0.0
Sin información,San Antonio,-0.0019,0.19,0.028
Sin información,Santo Domingo,-0.0005,0.0,0.0
Sin información,San Antonio,-0.0037,0.0,0.0
Sin información,San Antonio,-0.0007,3.88,0.576
Sin información,San Antonio,-0.0013,0.2,0.03
Sin información,San Antonio,-0.0012,0.0,0.0
Sin información,San Antonio,-0.0052,0.0,0.0
Sin información,San Antonio,-0.0025,1.73,0.256
Humedal Sector Qda. Los Alamos,San Antonio,-0.0044,7.92,1.0
Humedal Sector Industrial,San Antonio,-0.0015,0.0,0.0
Sin información,El Tabo,-0.0022,0.0,0.0
Sin información,Cartagena,-0.0009,0.0,0.0
Sin información,Cartagena,-0.002,0.0,0.0
Sin información,Cartagena,0.0,0.0,0.009
Sin información,Cartagena,0.0031,0.0,0.225
Sin información,Cartagena,-0.0007,0.0,0.0
Sin información,Cartagena,-0.0003,0.0,0.0
Sin información,El Tabo,0.0003,0.0,0.029
Sin información,El Tabo,-0.0005,0.0,0.0
Sin información,Casablanca,-0.0018,0.0,0.0
Sin información,Casablanca,-0.0057,4.08,0.605
Sin información,Casablanca,-0.0047,0.8,0.119
Sin información,El Quisco,-0.0059,0.0,0.0
Sin información,El Quisco,-0.007,0.94,0.14
Sin información,Casablanca,-0.0027,0.0,0.0
Sector Punta de Tralca N°3,El Quisco,-0.0023,0.0,0.0
Sin información,Casablanca,-0.0023,0.68,0.102
Sin información,Casablanca,-0.0013,0.0,0.0
Sin información,Casablanca,-0.0015,0.16,0.024
Sin información,Casablanca,0.0018,0.0,0.134
Sin información,Casablanca,-0.0008,0.0,0.0
Sin información,Casablanca,0.0003,0.0,0.03
Sin información,Casablanca,-0.0003,0.48,0.072
Sin información,Algarrobo,-0.0014,0.0,0.0
Sin información,Casablanca,0.0001,0.61,0.091
Sin información,Casablanca,-0.0036,3.06,0.454
Sin información,Casablanca,-0.0023,0.0,0.0
Sin información,Casablanca,-0.0013,0.56,0.083
Sin información,Algarrobo,-0.0012,0.39,0.057
Sin información,Algarrobo,-0.0002,0.0,0.0
Sin información,Casablanca,0.0018,0.0,0.132
Sin información,Casablanca,-0.0013,0.0,0.0
No identificado,Algarrobo,-0.0067,0.0,0.0
Sin información,Algarrobo,-0.0007,0.0,0.0
Sin información,Casablanca,-0.0018,0.0,0.0
Sin información,Algarrobo,-0.0024,1.09,0.162
Sin información,Casablanca,-0.0052,0.0,0.0
Sin información,Casablanca,0.0006,0.0,0.046
Sin información,Casablanca,0.0005,0.0,0.04
Sector Agrosuper,Casablanca,0.0008,0.0,0.062
Sin información,Algarrobo,-0.0042,1.1,0.163
Sin información,Casablanca,-0.0017,4.02,0.596
Sin información,Algarrobo,0.0022,0.0,0.161
Sin información,Casablanca,-0.0005,0.0,0.0
Sin información,Algarrobo,-0.0028,0.02,0.003
Sin información,Algarrobo,-0.0006,0.0,0.0
Sin información,Casablanca,-0.0003,0.06,0.009
Sin información,Algarrobo,-0.001,0.98,0.146
Sin información,Casablanca,0.0008,0.0,0.06
Sin información,Casablanca,-0.0012,0.48,0.072
Sin información,Casablanca,-0.0013,1.37,0.203
Sin información,Casablanca,-0.0024,2.86,0.424
Sin información,Casablanca,-0.0018,3.04,0.45
Sin información,Casablanca,-0.0027,2.18,0.323
Sin información,Casablanca,-0.001,0.0,0.0
Sin información,Casablanca,-0.0012,0.23,0.034
Sin información,Casablanca,0.0019,0.0,0.14
Sin información,Algarrobo,-0.004,0.45,0.067
Sin información,Casablanca,0.0005,0.0,0.042
Sin información,Algarrobo,-0.0041,0.0,0.0
Sin información,Algarrobo,0.0003,0.0,0.026
Sin información,Casablanca,-0.0007,0.43,0.064
Sin información,Casablanca,0.0,0.0,0.009
Sin información,Casablanca,-0.0007,0.0,0.0
Sin información,Casablanca,0.0007,0.0,0.056
Sin información,Casablanca,-0.0017,0.0,0.0
Sin información,Casablanca,0.0022,0.0,0.161
Sin información,Casablanca,-0.0007,0.0,0.0
Sin información,Casablanca,-0.0054,0.0,0.0
Sin información,Casablanca,0.0011,0.0,0.087
Sin información,Casablanca,0.0011,0.0,0.082
Sin información,Algarrobo,-0.003,0.52,0.078
Sin información,Algarrobo,-0.0021,0.0,0.0
Sin información,Algarrobo,-0.0031,0.0,0.0
Sin información,Algarrobo,-0.0045,0.0,0.0
Sin información,Casablanca,-0.0017,1.37,0.203
Sin información,Algarrobo,-0.0022,0.0,0.0
Sin información,Algarrobo,0.0005,0.0,0.045
Sin información,Algarrobo,-0.0041,1.35,0.201
Sin información,Casablanca,0.0001,0.0,0.01
Sin información,Casablanca,0.0006,0.0,0.045
Sin información,Casablanca,0.0004,0.27,0.04
Sin información,Algarrobo,-0.0043,0.0,0.0
Sin información,Casablanca,-0.0,0.0,0.003
Humedal Sector Tunquen 1,Algarrobo,0.0006,0.0,0.048
Humedal Sector Tunquen 2,Algarrobo,0.0002,0.0,0.023
Sin información,Casablanca,-0.003,1.1,0.163
Sin información,Casablanca,-0.0003,0.0,0.0
Sin información,Casablanca,-0.0009,0.0,0.0
Sin información,Algarrobo,-0.0011,0.79,0.117
Sin información,Algarrobo,-0.0012,0.0,0.0
Sin información,Algarrobo,-0.0027,0.26,0.038
Sin información,Casablanca,-0.0004,0.0,0.0
Sin información,Casablanca,-0.004,0.0,0.0
Sin información,Algarrobo,-0.0036,0.0,0.0
Sin información,Casablanca,0.0022,0.0,0.162
Sin información,Casablanca,0.0009,0.0,0.073
Sin información,Casablanca,-0.0013,0.0,0.0
Sin información,Casablanca,-0.0019,0.66,0.098
Sin información,Casablanca,0.0003,0.0,0.03
Sin información,Casablanca,-0.0005,0.0,0.0
Sin información,Algarrobo,-0.0006,0.0,0.0
Sin información,Algarrobo,-0.002,0.0,0.0
Sin información,Casablanca,-0.0006,0.0,0.0
Sin información,Casablanca,-0.0027,0.0,0.0
Sin información,Casablanca,-0.0001,0.0,0.0
Humedal Sector Tunquen 3,Casablanca,0.0019,0.0,0.139
Humedal Sector Tunquen 4,Casablanca,0.0009,0.0,0.069
Humedal Sector Tunquen 5,Casablanca,-0.0024,1.0,0.148
Sin información,Casablanca,-0.0047,0.0,0.0
Sin información,Casablanca,-0.0013,0.23,0.034
Sin información,Casablanca,-0.0053,0.53,0.078
Sin información,Casablanca,-0.0023,4.32,0.64
Sin información,Casablanca,-0.0045,0.0,0.0
Sin información,Casablanca,-0.0019,0.0,0.0
Sin información,Casablanca,0.0006,1.94,0.287
Sin información,Casablanca,-0.0015,0.32,0.047
Sin información,Casablanca,-0.0017,0.1,0.015
Sin información,Casablanca,-0.0001,2.57,0.381
Sin información,Casablanca,0.0001,0.0,0.012
Sin información,Casablanca,0.0002,3.9,0.578
Sin información,Casablanca,-0.0002,5.86,0.87
Sin información,Casablanca,0.0035,0.0,0.254
Sin información,Casablanca,-0.0004,0.53,0.078
Sin información,Casablanca,-0.0011,0.0,0.0
Sin información,Casablanca,0.0019,0.0,0.141
Sin información,Casablanca,-0.0027,1.89,0.28
Sin información,Casablanca,-0.0002,0.0,0.0
Sin información,Casablanca,-0.0085,0.0,0.0
Sin información,Casablanca,-0.0036,2.19,0.324
Sin información,Casablanca,-0.0005,0.0,0.0
Sin información,Casablanca,-0.0013,0.0,0.0
Sin información,Casablanca,-0.004,0.0,0.0
Sin información,Casablanca,0.0061,0.0,0.44
Sin información,Casablanca,-0.0016,0.0,0.0
Sector Quintay N°4,Casablanca,-0.0014,0.0,0.0
Sin información,Casablanca,-0.0027,0.34,0.051
Sin información,Casablanca,-0.0038,0.0,0.0
Sin información,Casablanca,-0.0063,0.0,0.0
Sin información,Valparaíso,-0.0003,0.0,0.0
Sin información,Valparaíso,-0.0001,2.56,0.38
Sin información,Casablanca,-0.0016,0.0,0.0
Sin información,Casablanca,-0.0001,0.0,0.0
Sin información,Valparaíso,-0.006,0.0,0.0
Sin información,Casablanca,-0.009,0.0,0.0
Sin información,Quilpué,-0.0028,0.0,0.0
Sin información,Quilpué,-0.0027,1.07,0.159
Sin información,Quilpué,-0.0011,0.0,0.0
Sin información,Valparaíso,-0.0031,1.07,0.159
Sin información,Quilpué,-0.0029,0.72,0.107
Sin información,Quilpué,-0.0122,5.09,0.755
Sin información,Quilpué,-0.0031,0.0,0.0
Sin información,Valparaíso,0.0013,0.0,0.096
Sin información,Quilpué,-0.0092,7.64,1.0
Sin información,Quilpué,-0.0045,0.29,0.044
Sin información,Quilpué,-0.0027,0.0,0.0
Sin información,Quilpué,-0.0038,0.88,0.131
Embalse El Peral,Valparaíso,-0.0,0.0,0.005
Sin información,Valparaíso,-0.0047,4.44,0.659
Sin información,Valparaíso,-0.0038,0.0,0.0
Sin información,Valparaíso,-0.0081,0.0,0.0
Sin información,Valparaíso,-0.0025,0.0,0.0
Sin información,Quilpué,-0.0016,2.5,0.37
Sin información,Valparaíso,-0.004,0.0,0.0
Sin información,Quilpué,-0.0022,0.0,0.0
