nom_humed,comuna,cuenca,acuifero,sobre_acuifero
Humedales Sector Tunquen,Algarrobo,Costeras entre Aconcagua y Maipo,Estero Casablanca,True
Embalse Casablanca 2,Casablanca,Costeras entre Aconcagua y Maipo,Estero Casablanca,True
Embalses Quintay 3,Casablanca,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Laguna artificial Bahía,Algarrobo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Humedal Sector Esteros de la Laja,Concón,Rio Aconcagua,Rio Aconcagua,True
Embalse 1 San Felipe,San Felipe,Rio Aconcagua,Rio Aconcagua,True
Humedales Sector Los Maitenes,Puchuncaví,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Embalse 3 Catemu,Catemu,Rio Aconcagua,Rio Aconcagua,True
Tranque Antiguo,Catemu,Rio Aconcagua,Rio Aconcagua,True
Tranque Antiguo,Catemu,Rio Aconcagua,Rio Aconcagua,True
Estero Puchuncavi - Campiche,Puchuncaví,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Estero Puchuncavi - Campiche,Quintero,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Sector Quintero N°9,Quintero,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Estero Los Molles,La Ligua,Costeras Quilimari-Petorca,Cuencas Costeras V Norte,True
Sin identificar,La Ligua,Rio Petorca,Rio Petorca,True
Quebrada Talcalan,Papudo,Rio Ligua,Rio La Ligua,True
Sin identificar,Papudo,Rio Ligua,Rio La Ligua,True
Humedal Sector El Alto,Puchuncaví,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Sector Quintero N°10,Quintero,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Petras Quintero,Quintero,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Humedal Sector Las Gaviotas,Quintero,Costeras Ligua-Aconcagua,Rio Aconcagua,True
Des.Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Des.Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Des.Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Des.Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Des.Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
