nom_humed,region,comuna,tipo,poly_area,shape_area,cod_humed,FID,cut_reg,anomaly_pct,z_score,recent_mm,clim_mean_mm
Embalse,Valparaíso,Llaillay,Humedal no asociado a límite urbano,1.50553829098,15054.9918092,HUR-05-25,56163,05,262.3,3.19,181.2,50.02
Embalse,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,3.44735585975,34465.5343767,HUR-05-31,56164,05,222.4,2.63,153.5,47.61
Humedal sector estadio L. Jelves,Valparaíso,Papudo,Humedal asociado a límite urbano,2.72314910986,27244.743996,HUR-05-35,56165,05,496.8,5.95,183.4,30.73
Embalse,Valparaíso,Rinconada,Humedal no asociado a límite urbano,1.17534323246,11751.1628371,HUR-05-40,56166,05,222.4,2.63,153.5,47.61
Embalse,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,1.14582970282,11456.0336537,HUR-05-42,56167,05,222.4,2.63,153.5,47.61
Humedal Jardín Botánico,Valparaíso,Viña del Mar,Humedal asociado a límite urbano,0.603407895982,6037.34513321,HUR-05-43,56168,05,342.5,4.91,180.5,40.79
Embalse,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,2.40733176268,24068.0028936,HUR-05-45,56169,05,222.4,2.63,153.5,47.61
Embalse,Valparaíso,San Antonio,Humedal no asociado a límite urbano,1.57425475786,15750.8537022,HUR-05-46,56170,05,235.3,3.51,161.5,48.16
Embalse,Valparaíso,San Antonio,Humedal no asociado a límite urbano,3.74418477684,37461.7398778,HUR-05-47,56171,05,235.3,3.51,161.5,48.16
Quebrada Las Petras,Valparaíso,Algarrobo,Humedal asociado a límite urbano,0.219288976104,2194.53001094,HUR-05-50,56172,05,201.0,2.87,147.6,49.04
Quebrada Las Petras,Valparaíso,El Quisco,Humedal asociado a límite urbano,0.180619542549,1807.5469326,HUR-05-50,56173,05,201.0,2.87,147.6,49.04
Quebrada El Batro,Valparaíso,El Quisco,Humedal asociado a límite urbano,0.424525861006,4248.42200664,HUR-05-51,56174,05,201.0,2.87,147.6,49.04
Quebrada Pino Mar,Valparaíso,El Quisco,Humedal asociado a límite urbano,0.693361336109,6938.78759974,HUR-05-52,56175,05,201.0,2.87,147.6,49.04
Estero El Totoral,Valparaíso,El Quisco,Humedal asociado a límite urbano,1.75426217238,17555.8000439,HUR-05-53,56176,05,188.7,2.73,142.9,49.5
Embalse,Valparaíso,San Antonio,Humedal no asociado a límite urbano,1.05168154552,10522.2815149,HUR-05-54,56177,05,235.3,3.51,161.5,48.16
Embalse sector Quebrada Los Coiles,Valparaíso,San Antonio,Humedal no asociado a límite urbano,8.40487921486,84081.3799003,HUR-05-57,56178,05,250.1,3.47,156.3,44.64
Embalse sector Quebrada Los Coiles,Valparaíso,San Antonio,Humedal no asociado a límite urbano,3.27006775679,32713.1401297,HUR-05-57,56179,05,281.5,3.91,170.3,44.64
Humedal sector Las Palmas,Valparaíso,Cartagena,Humedal no asociado a límite urbano,16.3231411109,163306.765927,HUR-05-59,56180,05,281.5,3.91,170.3,44.64
Estero de la Viña,Valparaíso,Cartagena,Humedal no asociado a límite urbano,109.428812715,1094782.8937,HUR-05-60,56181,05,281.5,3.91,170.3,44.64
Embalse San Juan,Valparaíso,San Antonio,Humedal asociado a límite urbano,17.9126563139,179228.9537,HUR-05-61,56182,05,227.5,3.3,154.1,47.06
Embalse,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.732807763471,7332.88700464,HUR-05-62,56183,05,311.9,4.42,199.3,48.38
Embalse,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.408444952391,4087.05347376,HUR-05-63,56184,05,311.9,4.42,199.3,48.38
Embalse Casablanca 1,Valparaíso,Casablanca,Humedal asociado a límite urbano,1.22549523484,12260.5240476,HUR-05-67,56185,05,430.2,6.28,217.6,41.04
